"Site","Date","Tube","scientificName","Count"
"Auca",2020-01-11,1,"None",0
"Joma",2019-03-24,1,"Chauliodes rastricornis",1
"Baca",2019-03-29,1,"Anomala innuba",2
"Demi",2019-04-14,1,"Chauliodes rastricornis",1
"Rist",2019-03-10,1,"Chauliodes rastricornis",5
"Rist",2019-03-10,1,"Anomala innuba",4
"Demi",2019-08-10,1,"Dichotomius carolinus",1
"Demi",2019-08-10,1,"Megalodacne fasciata",1
"Demi",2019-08-10,1,"Hydaticus bimarginatus",6
"Bowa",2020-01-25,1,"Chauliodes rastricornis",1
"Rist",2020-02-15,1,"None",0
"Cofr",2020-02-09,1,"None",0
"Prcr",2020-02-04,1,"None",0
"Joma",2020-02-09,1,"None",0
"Biva",2020-02-15,1,"None",0
"Demi",2020-01-11,1,"Chauliodes rastricornis",1
"Demi",2020-02-04,1,"None",1
"Joma",2020-01-18,1,"None",1
"Cofr",2020-02-28,1,"None",1
"Auca",2019-09-28,1,"Hydrophlus ovatus",1
"Auca",2019-09-29,1,"Anomala innuba",1
"Rist",2019-09-28,2,"Chauliodes rastricornis",1
"Rist",2020-02-28,1,"None",1
"Auca",2019-11-16,1,"Camponotus floridanus",1
"Biva",2019-10-05,1,"Chauliodes rastricornis",3
"Biva",2019-10-05,1,"Callistethus marginatus",1
"Auca",2019-10-01,1,"None",0
"Baca",2020-02-28,1,"None",0
"Bowa",2020-02-28,1,"None",0
"Demi",2020-02-28,1,"None",0
"Prcr",2019-11-16,1,"None",0
"Demi",2019-11-16,1,"None",0
"Bowa",2020-01-18,1,"None",0
"Auca",2019-10-05,1,"Callistethus marginatus",1
"Demi",2019-08-24,1,"Megalodacne fasciata",1
"Demi",2019-08-24,1,"Anomala innuba",1
"Bowa",2019-09-12,1,"Plecia nearctica",8
"Auca",2019-10-26,1,"Stilpnochlora couliana",1
"Auca",2019-10-26,1,"Prosapia bicincta",11
"Prcr",2019-10-12,1,"Hydaticus bimarginatus",2
"Rist",2019-11-02,1,"Megalodacne fasciata",1
"Bowa",2019-09-28,1,"Prosapia bicincta",1
"Biva",2019-09-07,1,"Prosapia bicincta",4
"Biva",2019-09-07,1,"Megalodacne fasciata",1
"Biva",2019-09-07,1,"Plecia nearctica",4
"Biva",2019-09-07,1,"Callistethus marginatus",1
"Joma",2019-09-07,1,"Chauliodes rastricornis",1
"Joma",2019-09-07,1,"Tylozygus bifidus",1
"Baca",2019-03-13,1,"Tylozygus bifidus",1
"Baca",2019-03-13,1,"Blattella asahinai",1
"Rist",2019-09-07,2,"Hydaticus bimarginatus",1
"Rist",2019-09-07,2,"Graminella cognita",1
"Baca",2019-09-07,1,"None",0
"Baca",2019-08-24,1,"Blattella asahinai",1
"Biva",2019-11-23,1,"None",0
"Biva",2019-12-01,1,"None",0
"Joma",2019-12-01,1,"None",0
"Auca",2019-12-08,1,"None",0
"Cofr",2020-01-01,1,"None",0
"Prcr",2020-01-01,1,"None",0
"Baca",2019-12-12,1,"None",0
"Rist",2020-01-01,1,"None",0
"Demi",2019-12-12,1,"None",0
"Baca",2020-01-01,1,"None",0
"Biva",2020-01-01,1,"None",0
"Joma",2020-01-01,1,"None",0
"Baca",2019-12-12,1,"None",0
"Rist",2019-10-12,1,"Chauliodes rastricornis",1
"Prcr",2019-12-12,1,"None",0
"Prcr",2020-01-25,1,"None",0
"Rist",2019-12-12,1,"None",0
"Bowa",2019-11-23,1,"None",0
"Joma",2020-02-01,1,"None",0
"Biva",2019-12-08,1,"None",0
"Auca",2019-10-12,1,"Hydaticus bimarginatus",2
"Demi",2019-11-02,1,"None",0
"Cofr",2019-09-28,1,"Anomala innuba",2
"Cofr",2019-09-28,1,"Acanalonia servillei",4
"Cofr",2019-09-13,1,"Plecia nearctica",3
"Cofr",2019-09-28,1,"Hydaticus bimarginatus",1
"Bowa",2019-12-01,1,"None",0
"Joma",2019-11-23,1,"None",0
"Baca",2019-12-08,1,"None",0
"Bowa",2020-01-01,1,"None",0
"Joma",2019-12-08,1,"None",0
"Rist",2019-12-08,1,"None",0
"Cofr",2019-12-08,1,"None",0
"Prcr",2019-11-23,1,"None",0
"Cofr",2019-12-01,1,"None",0
"Demi",2019-11-23,1,"None",0
"Prcr",2019-12-01,1,"None",0
"Demi",2019-12-01,1,"None",0
"Rist",2019-11-23,1,"None",0
"Auca",2019-11-23,1,"Chauliodes rastricornis",1
"Bowa",2019-12-08,1,"None",0
"Baca",2019-12-01,1,"None",0
"Prcr",2019-09-21,1,"Chauliodes rastricornis",1
"Prcr",2019-09-22,1,"Callistethus marginatus",2
"Prcr",2019-09-22,1,"Plecia nearctica",18
"Prcr",2019-09-23,1,"Hydaticus bimarginatus",2
"Biva",2019-10-12,1,"Hydaticus bimarginatus",1
"Rist",2019-10-05,1,"Chauliodes rastricornis",1
"Rist",2019-09-21,1,"Alcaeorrhynchus grandis",1
"Cofr",2019-09-21,1,"Plecia nearctica",4
"Cofr",2019-09-21,1,"Hydaticus bimarginatus",1
"Cofr",2019-09-21,1,"Erythroneura calyculata",2
"Demi",2019-09-21,1,"Plecia nearctica",5
"Demi",2019-09-21,1,"Erythroneura calyculata",2
"Baca",2020-01-11,1,"None",0
"Demi",2019-10-12,1,"None",0
"Cofr",2019-12-22,1,"None",0
"Biva",2020-01-05,1,"None",0
"Joma",2019-12-12,1,"None",0
"Baca",2020-02-08,1,"None",0
"Cofr",2019-11-16,1,"None",0
"Baca",2020-02-01,1,"None",0
"Auca",2019-12-12,1,"None",0
"Biva",2020-02-09,1,"None",0
"Joma",2020-02-15,1,"None",0
"Joma",2020-01-05,1,"None",0
"Baca",2020-01-05,1,"None",0
"Joma",2019-12-22,1,"None",0
"Biva",2019-12-12,1,"None",0
"Joma",2019-10-12,1,"Harmonia axyridis",1
"Bowa",2019-10-12,1,"None",0
"Demi",2020-02-01,1,"None",0
"Rist",2020-01-18,1,"None",0
"Demi",2020-01-15,1,"None",0
"Prcr",2020-01-05,1,"None",0
"Rist",2020-01-05,1,"None",0
"Rist",2020-01-11,1,"Chauliodes rastricornis",4
"Joma",2019-08-31,1,"Anomala innuba",1
"Joma",2019-08-31,1,"Hydaticus bimarginatus",1
"Joma",2019-08-31,1,"Climaciella brunnea",1
"Joma",2020-01-11,1,"None",0
"Rist",2019-10-05,1,"Chauliodes rastricornis",1
"Rist",2019-10-05,1,"Acanalonia servillei",1
"Auca",2019-11-23,1,"Chauliodes rastricornis",1
"Bowa",2019-12-08,1,"None",0
"Rist",2019-09-21,1,"Alcaeorrhynchus grandis",1
"Rist",2019-09-21,1,"Hydaticus bimarginatus",1
"Prcr",2020-02-15,1,"None",0
"Rist",2020-02-09,1,"Neoscapteriscus borellii",1
"Bowa",2020-02-09,1,"None",0
"Demi",2019-08-02,1,"Megalodacne fasciata",2
"Demi",2019-08-02,1,"Anomala innuba",1
"Auca",2019-08-17,1,"Lethocerus uhleri",1
"Auca",2019-08-17,1,"Hydaticus bimarginatus",21
"Cofr",2019-09-21,1,"Plecia nearctica",4
"Cofr",2019-09-21,1,"Hydaticus bimarginatus",2
"Demi",2019-09-21,1,"Plecia nearctica",5
"Biva",2019-10-12,1,"Hydaticus bimarginatus",1
"Auca",2019-12-12,1,"None",0
"Cofr",2019-11-16,1,"None",0
"Auca",2019-07-06,1,"Callistethus marginatus",3
"Rist",2019-07-03,2,"Prionus pocularis",2
"Rist",2019-07-03,2,"Lethocerus uhleri",1
"Rist",2019-07-03,2,"Pelidnota punctata",1
"Prcr",2019-07-27,2,"Hydaticus bimarginatus",3
"Prcr",2019-07-27,2,"Prosapia bicincta",1
"Rist",2019-07-06,1,"Hydaticus bimarginatus",4
"Joma",2020-01-05,1,"None",0
"Prcr",2019-08-02,2,"None",0
"Auca",2019-07-27,2,"Corydalus cornutus",1
"Auca",2019-07-27,2,"Hydaticus bimarginatus",1
"Cofr",2019-12-22,1,"None",0
"Biva",2020-02-09,1,"None",0
"Biva",2019-12-12,1,"None",0
"Bowa",2020-02-15,1,"None",0
"Auca",2019-07-13,1,"Hydaticus bimarginatus",1
"Auca",2019-07-13,1,"Callistethus marginatus",1
"Cofr",2020-02-15,1,"None",0
"Prcr",2019-07-27,1,"Hydaticus bimarginatus",4
"Prcr",2019-07-27,1,"Draeculacephala inscripta",1
"Prcr",2019-07-27,1,"Chauliodes rastricornis",1
"Prcr",2019-08-02,1,"Hydaticus bimarginatus",4
"Prcr",2019-08-02,1,"Prosapia bicincta",1
"Prcr",2019-08-02,1,"Draeculacephala inscripta",1
"Rist",2020-01-18,1,"None",0
"Demi",2020-02-01,1,"None",0
"Joma",2020-02-15,1,"None",0
"Joma",2019-12-12,1,"None",0
"Baca",2020-01-11,1,"None",0
"Biva",2020-01-05,1,"None",0
"Baca",2020-02-01,1,"None",0
"Auca",2020-01-11,1,"None",0
"Auca",2019-07-27,1,"Cybister fimbriolatus",2
"Auca",2019-07-27,1,"Hydaticus bimarginatus",6
"Auca",2019-07-27,1,"Callistethus marginatus",1
"Rist",2019-07-06,3,"Lethocerus uhleri",2
"Rist",2019-07-06,3,"Acanalonia servillei",1
"Cofr",2019-08-31,1,"None",0
"Biva",2019-08-17,1,"Lethocerus uhleri",1
"Biva",2019-08-17,42,"Hydaticus bimarginatus",42
"Rist",2019-08-31,2,"Chauliodes rastricornis",1
"Rist",2019-08-31,2,"Camponotus floridanus",1
"Cofr",2019-07-27,1,"Hydaticus bimarginatus",23
"Cofr",2019-07-27,1,"Cybister fimbriolatus",2
"Demi",2019-07-13,1,"Hydaticus bimarginatus",11
"Demi",2019-07-13,1,"Acanalonia servillei",1
"Demi",2019-08-31,1,"Chauliodes rastricornis",1
"Demi",2019-08-31,1,"Hydaticus bimarginatus",16
"Biva",2019-08-02,1,"Hydaticus bimarginatus",4
"Biva",2019-08-02,1,"Camponotus floridanus",2
"Bowa",2019-08-17,1,"Hydaticus bimarginatus",19
"Bowa",2019-08-17,1,"Camponotus floridanus",1
"Rist",2019-08-31,1,"Chauliodes rastricornis",3
"Rist",2019-07-27,2,"Chauliodes rastricornis",1
"Rist",2019-07-27,2,"Prionus pocularis",2
"Rist",2019-07-27,2,"Hydrophlus ovatus",1
"Rist",2019-07-27,2,"Hydaticus bimarginatus",2
"Rist",2019-07-27,2,"Prosapia bicincta",1
"Auca",2019-08-24,2,"Chauliodes rastricornis",1
"Auca",2019-08-24,2,"Prosapia bicincta",5
"Auca",2019-08-24,2,"Anomala innuba",10
"Baca",2019-08-02,1,"Pelidnota punctata",1
"Cofr",2019-08-02,1,"Prosapia bicincta",1
"Cofr",2019-08-02,1,"Prionus pocularis",1
"Baca",2019-08-10,1,"Hydaticus bimarginatus",14
"Baca",2019-08-10,1,"Camponotus floridanus",1
"Prcr",2019-08-17,1,"Hydaticus bimarginatus",80
"Prcr",2019-08-17,1,"Cybister fimbriolatus",2
"Auca",2019-08-24,2,"Anomala innuba",6
"Auca",2019-08-24,2,"Prosapia bicincta",1
"Auca",2019-08-24,2,"Camponotus floridanus",3
"Cofr",2019-08-17,1,"Hydaticus bimarginatus",88
"Cofr",2019-08-17,1,"Camponotus floridanus",1
"Joma",2019-08-10,1,"Chauliodes rastricornis",4
"Rist",2019-08-02,1,"Hydaticus bimarginatus",2
"Rist",2019-08-02,1,"Acanalonia servillei",1
"Joma",2019-07-21,1,"Camponotus floridanus",2
"Joma",2019-07-21,1,"Acanalonia servillei",1
"Joma",2019-07-21,1,"Lethocerus uhleri",1
"Joma",2019-07-21,1,"Chauliodes rastricornis",4
"Joma",2019-07-21,1,"Cybister fimbriolatus",1
"Joma",2019-07-21,1,"Hydaticus bimarginatus",4
"Baca",2019-07-27,1,"Hydaticus bimarginatus",1
"Prcr",2020-01-01,1,"None",0
"Prcr",2019-06-29,3,"Pelidnota punctata",1
"Prcr",2019-06-29,3,"Prosapia bicincta",3
"Rist",2019-08-24,1,"Dichotomius carolinus",1
"Rist",2019-08-24,1,"Tabanus atratus",1
"Bowa",2019-07-13,1,"Hydaticus bimarginatus",6
"Bowa",2019-07-13,1,"Prosapia bicincta",1
"Bowa",2019-07-13,1,"Acanalonia servillei",1
"Baca",2019-07-13,1,"Hydaticus bimarginatus",1
"Baca",2019-07-13,1,"Camponotus floridanus",1
"Rist",2019-08-17,1,"Hydaticus bimarginatus",19
"Rist",2019-08-17,1,"Camponotus floridanus",12
"Joma",2019-08-02,1,"Chauliodes rastricornis",3
"Joma",2019-08-02,1,"Hydaticus bimarginatus",1
"Biva",2019-08-31,1,"None",1
"Rist",2019-08-24,1,"Chauliodes rastricornis",1
"Rist",2019-08-24,1,"Prosapia bicincta",3
"Rist",2019-08-24,1,"Tabanus atratus",1
"Bowa",2019-07-27,1,"Cybister fimbriolatus",2
"Bowa",2019-07-27,1,"Hydaticus bimarginatus",3
"Bowa",2019-07-27,1,"Camponotus floridanus",3
"Cofr",2019-07-13,1,"Hydaticus bimarginatus",4
"Bowa",2020-01-25,1,"None",0
"Rist",2019-07-21,1,"Camponotus floridanus",4
"Rist",2019-07-21,1,"Prionus pocularis",1
"Rist",2019-07-21,1,"Acanalonia servillei",1
"Rist",2019-07-21,1,"Hydaticus bimarginatus",3
"Rist",2019-07-21,1,"Pelidnota punctata",1
"Demi",2019-07-06,1,"Hydaticus bimarginatus",46
"Auca",2019-07-06,1,"Cybister fimbriolatus",1
"Auca",2019-07-06,1,"Callistethus marginatus",3
"Auca",2019-07-06,1,"Prionus pocularis",1
"Auca",2019-07-06,1,"Lethocerus uhleri",1
"Prcr",2019-08-24,2,"Draeculacephala inscripta",1
"Joma",2019-07-06,1,"Chauliodes rastricornis",1
"Joma",2019-07-06,1,"Hydaticus bimarginatus",18
"Joma",2019-07-06,1,"Calosoma scrutator",1
"Joma",2019-07-06,1,"Corydalus cornutus",1
"Prcr",2019-08-24,3,"Hydrophlus ovatus",1
"Prcr",2019-08-24,3,"Prosapia bicincta",3
"Prcr",2019-08-24,3,"Hydaticus bimarginatus",1
"Auca",2019-07-21,1,"Chauliodes rastricornis",1
"Auca",2019-07-21,2,"Hydaticus bimarginatus",1
"Auca",2019-07-21,2,"Cybister fimbriolatus",1
"Auca",2019-07-06,4,"Cybister fimbriolatus",1
"Auca",2019-07-06,4,"Hydaticus bimarginatus",2
"Auca",2019-07-06,4,"Callistethus marginatus",8
"Cofr",2019-07-06,1,"Hydaticus bimarginatus",24
"Auca",2019-07-06,3,"Callistethus marginatus",5
"Auca",2019-07-06,3,"Dichotomius carolinus",1
"Prcr",2019-07-13,1,"Prionus imbricornis",1
"Prcr",2019-07-13,1,"Hydaticus bimarginatus",7
"Biva",2019-07-27,1,"Hydaticus bimarginatus",9
"Biva",2019-07-27,1,"Cybister fimbriolatus",1
"Biva",2019-07-27,1,"Lethocerus uhleri",1
"Biva",2019-07-13,1,"Hydaticus bimarginatus",3
"Biva",2019-07-13,1,"Prosapia bicincta",1
"Prcr",2019-06-08,1,"Callistethus marginatus",5
"Prcr",2019-06-08,1,"Prosapia bicincta",2
"Prcr",2019-06-08,1,"Prionus imbricornis",1
"Prcr",2019-06-08,1,"Prionus pocularis",1
"Prcr",2019-08-10,2,"Chauliodes rastricornis",2
"Prcr",2019-08-10,2,"Megalodacne fasciata",1
"Prcr",2019-08-10,2,"Camponotus floridanus",2
"Prcr",2019-08-10,2,"Prosapia bicincta",3
"Prcr",2019-08-10,2,"Hydaticus bimarginatus",4
"Prcr",2019-08-27,2,"Lethocerus uhleri",2
"Prcr",2019-08-27,2,"Hydaticus bimarginatus",33
"Bowa",2019-07-06,1,"Hydaticus bimarginatus",3
"Bowa",2019-07-06,1,"Cybister fimbriolatus",1
"Joma",2019-06-22,1,"Hydrophlus ovatus",2
"Joma",2019-06-22,1,"Hydaticus bimarginatus",2
"Bowa",2019-06-29,1,"Prosapia bicincta",3
"Cofr",2019-03-31,1,"None",1
"Prcr",2019-08-24,1,"Mallodon dasystomus",1
"Prcr",2019-08-24,1,"Phileurus valgus",1
"Prcr",2019-08-24,1,"Hydaticus bimarginatus",1
"Prcr",2019-08-24,1,"Prosapia bicincta",1
"Prcr",2019-08-24,1,"Acanalonia servillei",1
"Bowa",2019-08-03,1,"Dichotomius carolinus",1
"Bowa",2019-08-03,1,"Prionus imbricornis",1
"Bowa",2019-08-03,1,"Prosapia bicincta",3
"Cofr",2019-04-21,1,"None",1
"Demi",2019-06-08,1,"Callistethus marginatus",1
"Prcr",2019-05-22,1,"Callistethus marginatus",5
"Prcr",2019-05-22,1,"Prosapia bicincta",3
"Prcr",2019-05-22,1,"Corydalus cornutus",1
"Joma",2019-06-08,1,"Hydaticus bimarginatus",3
"Prcr",2019-03-31,1,"Corydalus cornutus",1
"Rist",2019-07-13,1,"Acanalonia servillei",1
"Auca",2019-04-21,1,"None",1
"Rist",2019-05-22,1,"Chauliodes rastricornis",3
"Demi",2019-04-21,1,"None",1
"Cofr",2019-06-08,1,"Callistethus marginatus",17
"Biva",2019-04-07,1,"Chauliodes rastricornis",1
"Biva",2019-04-07,1,"Hydaticus bimarginatus",1
"Biva",2019-04-07,1,"Phileurus valgus",1
"Rist",2019-04-21,1,"None",1
"Auca",2019-03-24,1,"None",1
"Demi",2019-03-31,1,"Chauliodes rastricornis",1
"Demi",2019-05-04,1,"Alcaeorrhynchus grandis",1
"Bowa",2019-05-11,1,"Prosapia bicincta",2
"Joma",2019-04-14,1,"Hydaticus bimarginatus",1
"Baca",2019-03-31,1,"None",1
"Rist",2019-03-16,2,"None",1
"Baca",2019-09-21,1,"None",1
"Auca",2019-06-02,4,"Chauliodes rastricornis",1
"Auca",2019-06-02,4,"Corydalus cornutus",1
"Auca",2019-06-02,4,"Prosapia bicincta",1
"Auca",2019-06-02,4,"Callistethus marginatus",1
"Rist",2019-04-14,2,"Tylozygus geometricus",3
"Rist",2019-04-14,2,"Tylozygus bifidus",8
"Rist",2019-04-14,2,"Draeculacephala inscripta",8
