"","Site","scientific_name","abundance","Dev_10","Dev_1","BodySize","LHSCategory","VoltinismCategory","LarvalHabitatCategory","meanLight","max_lat_dif","min_lat_dif","med_lat_dif","temp_niche","precip_niche","mean_temp","mean_rh","mean_hsi"
"1","Auca","Acanalonia servillei",0,0.057,0.015,14.5,"Herbivore","Univoltine","Above Ground",0,6.20156,-2.34538,1.3495,2.81457411410109,160.229305820834,1.01755102,-1.108163265,1.332244898
"2","Auca","Alcaeorrhynchus grandis",0,0.057,0.015,20,"Carnivore","Not Univoltine","Above Ground",0,3.23802,-23.3995,-0.0340000000000025,2.77440600496807,454.301910255938,1.01755102,-1.108163265,1.332244898
"3","Auca","Anomala innuba",32,0.057,0.015,7.5,"Herbivore","Not Univoltine","Below Ground",0,9.44282,-3.06142,3.2674,4.16178885458884,313.801359071828,1.01755102,-1.108163265,1.332244898
"4","Auca","Blattella asahinai",1,0.057,0.015,14.5,"Herbivore","Not Univoltine","Above Ground",0,2.6963,-8.83475,0.400400000000001,3.35753476865113,409.929268610035,1.01755102,-1.108163265,1.332244898
"5","Auca","Callistethus marginatus",226,0.057,0.015,13.5,"Herbivore","Not Univoltine","Below Ground",0,7.34624000000001,-3.52616,1.3,3.76043297648297,329.084045570379,1.01755102,-1.108163265,1.332244898
"6","Auca","Calosoma scrutator",0,0.057,0.015,30,"Carnivore","Univoltine","Above Ground",0,10.0707,0.00329999999999941,4.11079999999999,3.42313596310852,312.109190304279,1.01755102,-1.108163265,1.332244898
"7","Auca","Camponotus castaneus",0,0.057,0.015,8.5,"Omnivore","Not Univoltine","Host Organisms",0,9.8408,1.0152,6.8397,2.70351447364713,168.142479126584,1.01755102,-1.108163265,1.332244898
"8","Auca","Camponotus floridanus",5,0.057,0.015,8.5,"Omnivore","Not Univoltine","Host Organisms",0,0.732980000000001,-3.9084,-1.571,1.5274742654138,116.335066166947,1.01755102,-1.108163265,1.332244898
"9","Auca","Chauliodes rastricornis",20,0.057,0.015,35,"Omnivore","Not Univoltine","Freshwater",0,15.3888,0.50817,11.50765,5.55321612401015,225.027366967559,1.01755102,-1.108163265,1.332244898
"10","Auca","Climaciella brunnea",0,0.057,0.015,26.5,"Carnivore","Not Univoltine","Host Organisms",0,15.8374,-0.915580000000002,12.9686,5.80591046276887,329.452941561826,1.01755102,-1.108163265,1.332244898
"11","Auca","Corydalus cornutus",10,0.057,0.015,54,"Omnivore","Univoltine","Freshwater",0,13.57158,3.43488,9.12105,3.59008191526177,209.500023430073,1.01755102,-1.108163265,1.332244898
"12","Auca","Cybister fimbriolatus",16,0.057,0.015,29.5,"Carnivore","Univoltine","Freshwater",0,10.94483,-2.01133,2.3079,4.36706778375191,303.052664561671,1.01755102,-1.108163265,1.332244898
"13","Auca","Dichotomius carolinus",4,0.057,0.015,25,"Detrivore","Univoltine","Above Ground",0,9.3372,-10.2733,5.39725,3.64512345088033,382.850577514149,1.01755102,-1.108163265,1.332244898
"14","Auca","Draeculacephala inscripta",7,0.057,0.015,7,"Herbivore","Not Univoltine","Above Ground",0,8.68032000000001,-0.627460000000003,0.811699999999998,3.61521297776219,230.708236738472,1.01755102,-1.108163265,1.332244898
"15","Auca","Euphoria sepulcralis",0,0.057,0.015,11.5,"Herbivore","Univoltine","Below Ground",0,9.31407,-3.68085,1.28645,4.11175634694152,264.336060265963,1.01755102,-1.108163265,1.332244898
"16","Auca","Harmonia axyridis",2,0.057,0.015,6.5,"Carnivore","Not Univoltine","Above Ground",0,23.651,4.03536,20.8802,3.38960814321939,264.803339094393,1.01755102,-1.108163265,1.332244898
"17","Auca","Hydaticus bimarginatus",61,0.057,0.015,12.5,"Carnivore","Univoltine","Freshwater",0,5.57985,-2.53645,0.366,2.72629463654203,232.100917636227,1.01755102,-1.108163265,1.332244898
"18","Auca","Lethocerus uhleri",3,0.057,0.015,48.5,"Carnivore","Not Univoltine","Freshwater",0,6.22652,-1.7319,0.8414,2.77862837874417,235.222942972051,1.01755102,-1.108163265,1.332244898
"19","Auca","Lytta polita",0,0.057,0.015,17.5,"Carnivore","Univoltine","Host Organisms",0,5.9363,-0.704600000000003,1.14695,2.47606405877214,147.415611063826,1.01755102,-1.108163265,1.332244898
"20","Auca","Megalodacne fasciata",0,0.057,0.015,12.5,"Herbivore","Not Univoltine","Host Organisms",0,11.83046,0.611499999999999,7.5829,3.82685601308118,211.875959034006,1.01755102,-1.108163265,1.332244898
"21","Auca","Melanolestes picipes",2,0.057,0.015,11,"Carnivore","Not Univoltine","Below Ground",0,9.55308,0.487159999999999,5.7128,3.39358232788108,280.824961928544,1.01755102,-1.108163265,1.332244898
"22","Auca","Necrophila americana",2,0.057,0.015,16.5,"Detrivore","Not Univoltine","Host Organisms",0,15.9427,6.2585,11.523,3.80382800299079,185.600535245898,1.01755102,-1.108163265,1.332244898
"23","Auca","Neoconocephalus triops",0,0.057,0.015,32,"Herbivore","Not Univoltine","Above Ground",0,5.6516,-7.64649,0.15635,3.21043102917168,417.815717320485,1.01755102,-1.108163265,1.332244898
"24","Auca","Neoscapteriscus borellii",4,0.057,0.015,30,"Omnivore","Not Univoltine","Below Ground",0,4.62694,-1.57872,0.946449999999999,2.1975098316369,339.65299945197,1.01755102,-1.108163265,1.332244898
"25","Auca","Pelidnota punctata",0,0.057,0.015,22,"Detrivore","Univoltine","Host Organisms",0,14.11112,1.96209,10.41015,4.09221785940406,199.735546624183,1.01755102,-1.108163265,1.332244898
"26","Auca","Periplaneta americana",0,0.057,0.015,38,"Omnivore","Not Univoltine","Above Ground",0,9.72851,-36.99468,1.03355,4.550952117521,652.345131775528,1.01755102,-1.108163265,1.332244898
"27","Auca","Phileurus truncatus",0,0.057,0.015,35,"Detrivore","Univoltine","Host Organisms",0,6.31028,-10.40278,3.7026,2.61350928156564,536.665503698626,1.01755102,-1.108163265,1.332244898
"28","Auca","Phileurus valgus",1,0.057,0.015,23,"Detrivore","Not Univoltine","Host Organisms",0,6.5085,-15.0894,0.609099999999998,3.79938507603675,518.459617713095,1.01755102,-1.108163265,1.332244898
"29","Auca","Plecia nearctica",10,0.057,0.015,7.5,"Herbivore","Not Univoltine","Below Ground",0,2.34642,-1.81964,0.0626999999999995,1.59085050727693,186.938070243399,1.01755102,-1.108163265,1.332244898
"30","Auca","Prionus imbricornis",0,0.057,0.015,37.5,"Herbivore","Univoltine","Host Organisms",0,8.64517999999999,0.86712,5.53875,2.46058708621822,210.76072994301,1.01755102,-1.108163265,1.332244898
"31","Auca","Prionus pocularis",2,0.057,0.015,34.5,"Herbivore","Univoltine","Host Organisms",0,11.89206,-0.938039999999997,3.6192,4.31687260982908,208.735279531533,1.01755102,-1.108163265,1.332244898
"32","Auca","Prosapia bicincta",150,0.057,0.015,9,"Herbivore","Not Univoltine","Above Ground",0,9.46683999999999,0.085799999999999,4.5966,3.30939461663834,242.784188261434,1.01755102,-1.108163265,1.332244898
"33","Auca","Rhiginia cruciata",0,0.057,0.015,14,"Carnivore","Not Univoltine","Above Ground",0,10.43586,0.30462,7.5535,3.49738750158468,189.033570507408,1.01755102,-1.108163265,1.332244898
"34","Auca","Tabanus atratus",0,0.057,0.015,26.5,"Carnivore","Not Univoltine","Freshwater",0,13.74687,-0.132200000000001,6.63105,5.12222578420955,244.456964908158,1.01755102,-1.108163265,1.332244898
"35","Auca","Tylozygus geometricus",0,0.057,0.015,4,"Herbivore","Univoltine","Above Ground",0,9.63652,-20.11294,2.6939,4.6417090820903,815.33606703684,1.01755102,-1.108163265,1.332244898
"36","Baca","Acanalonia servillei",5,0.58,0.948,14.5,"Herbivore","Univoltine","Above Ground",13.2569791666667,6.20156,-2.34538,1.3495,2.81457411410109,160.229305820834,0,0,0
"37","Baca","Alcaeorrhynchus grandis",0,0.58,0.948,20,"Carnivore","Not Univoltine","Above Ground",13.2569791666667,3.23802,-23.3995,-0.0340000000000025,2.77440600496807,454.301910255938,0,0,0
"38","Baca","Anomala innuba",14,0.58,0.948,7.5,"Herbivore","Not Univoltine","Below Ground",13.2569791666667,9.44282,-3.06142,3.2674,4.16178885458884,313.801359071828,0,0,0
"39","Baca","Blattella asahinai",4,0.58,0.948,14.5,"Herbivore","Not Univoltine","Above Ground",13.2569791666667,2.6963,-8.83475,0.400400000000001,3.35753476865113,409.929268610035,0,0,0
"40","Baca","Callistethus marginatus",27,0.58,0.948,13.5,"Herbivore","Not Univoltine","Below Ground",13.2569791666667,7.34624000000001,-3.52616,1.3,3.76043297648297,329.084045570379,0,0,0
"41","Baca","Calosoma scrutator",0,0.58,0.948,30,"Carnivore","Univoltine","Above Ground",13.2569791666667,10.0707,0.00329999999999941,4.11079999999999,3.42313596310852,312.109190304279,0,0,0
"42","Baca","Camponotus castaneus",0,0.58,0.948,8.5,"Omnivore","Not Univoltine","Host Organisms",13.2569791666667,9.8408,1.0152,6.8397,2.70351447364713,168.142479126584,0,0,0
"43","Baca","Camponotus floridanus",3,0.58,0.948,8.5,"Omnivore","Not Univoltine","Host Organisms",13.2569791666667,0.732980000000001,-3.9084,-1.571,1.5274742654138,116.335066166947,0,0,0
"44","Baca","Chauliodes rastricornis",0,0.58,0.948,35,"Omnivore","Not Univoltine","Freshwater",13.2569791666667,15.3888,0.50817,11.50765,5.55321612401015,225.027366967559,0,0,0
"45","Baca","Climaciella brunnea",0,0.58,0.948,26.5,"Carnivore","Not Univoltine","Host Organisms",13.2569791666667,15.8374,-0.915580000000002,12.9686,5.80591046276887,329.452941561826,0,0,0
"46","Baca","Corydalus cornutus",0,0.58,0.948,54,"Omnivore","Univoltine","Freshwater",13.2569791666667,13.57158,3.43488,9.12105,3.59008191526177,209.500023430073,0,0,0
"47","Baca","Cybister fimbriolatus",0,0.58,0.948,29.5,"Carnivore","Univoltine","Freshwater",13.2569791666667,10.94483,-2.01133,2.3079,4.36706778375191,303.052664561671,0,0,0
"48","Baca","Dichotomius carolinus",0,0.58,0.948,25,"Detrivore","Univoltine","Above Ground",13.2569791666667,9.3372,-10.2733,5.39725,3.64512345088033,382.850577514149,0,0,0
"49","Baca","Draeculacephala inscripta",0,0.58,0.948,7,"Herbivore","Not Univoltine","Above Ground",13.2569791666667,8.68032000000001,-0.627460000000003,0.811699999999998,3.61521297776219,230.708236738472,0,0,0
"50","Baca","Euphoria sepulcralis",0,0.58,0.948,11.5,"Herbivore","Univoltine","Below Ground",13.2569791666667,9.31407,-3.68085,1.28645,4.11175634694152,264.336060265963,0,0,0
"51","Baca","Harmonia axyridis",1,0.58,0.948,6.5,"Carnivore","Not Univoltine","Above Ground",13.2569791666667,23.651,4.03536,20.8802,3.38960814321939,264.803339094393,0,0,0
"52","Baca","Hydaticus bimarginatus",57,0.58,0.948,12.5,"Carnivore","Univoltine","Freshwater",13.2569791666667,5.57985,-2.53645,0.366,2.72629463654203,232.100917636227,0,0,0
"53","Baca","Lethocerus uhleri",1,0.58,0.948,48.5,"Carnivore","Not Univoltine","Freshwater",13.2569791666667,6.22652,-1.7319,0.8414,2.77862837874417,235.222942972051,0,0,0
"54","Baca","Lytta polita",0,0.58,0.948,17.5,"Carnivore","Univoltine","Host Organisms",13.2569791666667,5.9363,-0.704600000000003,1.14695,2.47606405877214,147.415611063826,0,0,0
"55","Baca","Megalodacne fasciata",0,0.58,0.948,12.5,"Herbivore","Not Univoltine","Host Organisms",13.2569791666667,11.83046,0.611499999999999,7.5829,3.82685601308118,211.875959034006,0,0,0
"56","Baca","Melanolestes picipes",0,0.58,0.948,11,"Carnivore","Not Univoltine","Below Ground",13.2569791666667,9.55308,0.487159999999999,5.7128,3.39358232788108,280.824961928544,0,0,0
"57","Baca","Necrophila americana",0,0.58,0.948,16.5,"Detrivore","Not Univoltine","Host Organisms",13.2569791666667,15.9427,6.2585,11.523,3.80382800299079,185.600535245898,0,0,0
"58","Baca","Neoconocephalus triops",0,0.58,0.948,32,"Herbivore","Not Univoltine","Above Ground",13.2569791666667,5.6516,-7.64649,0.15635,3.21043102917168,417.815717320485,0,0,0
"59","Baca","Neoscapteriscus borellii",0,0.58,0.948,30,"Omnivore","Not Univoltine","Below Ground",13.2569791666667,4.62694,-1.57872,0.946449999999999,2.1975098316369,339.65299945197,0,0,0
"60","Baca","Pelidnota punctata",2,0.58,0.948,22,"Detrivore","Univoltine","Host Organisms",13.2569791666667,14.11112,1.96209,10.41015,4.09221785940406,199.735546624183,0,0,0
"61","Baca","Periplaneta americana",0,0.58,0.948,38,"Omnivore","Not Univoltine","Above Ground",13.2569791666667,9.72851,-36.99468,1.03355,4.550952117521,652.345131775528,0,0,0
"62","Baca","Phileurus truncatus",0,0.58,0.948,35,"Detrivore","Univoltine","Host Organisms",13.2569791666667,6.31028,-10.40278,3.7026,2.61350928156564,536.665503698626,0,0,0
"63","Baca","Phileurus valgus",0,0.58,0.948,23,"Detrivore","Not Univoltine","Host Organisms",13.2569791666667,6.5085,-15.0894,0.609099999999998,3.79938507603675,518.459617713095,0,0,0
"64","Baca","Plecia nearctica",0,0.58,0.948,7.5,"Herbivore","Not Univoltine","Below Ground",13.2569791666667,2.34642,-1.81964,0.0626999999999995,1.59085050727693,186.938070243399,0,0,0
"65","Baca","Prionus imbricornis",0,0.58,0.948,37.5,"Herbivore","Univoltine","Host Organisms",13.2569791666667,8.64517999999999,0.86712,5.53875,2.46058708621822,210.76072994301,0,0,0
"66","Baca","Prionus pocularis",1,0.58,0.948,34.5,"Herbivore","Univoltine","Host Organisms",13.2569791666667,11.89206,-0.938039999999997,3.6192,4.31687260982908,208.735279531533,0,0,0
"67","Baca","Prosapia bicincta",1,0.58,0.948,9,"Herbivore","Not Univoltine","Above Ground",13.2569791666667,9.46683999999999,0.085799999999999,4.5966,3.30939461663834,242.784188261434,0,0,0
"68","Baca","Rhiginia cruciata",0,0.58,0.948,14,"Carnivore","Not Univoltine","Above Ground",13.2569791666667,10.43586,0.30462,7.5535,3.49738750158468,189.033570507408,0,0,0
"69","Baca","Tabanus atratus",0,0.58,0.948,26.5,"Carnivore","Not Univoltine","Freshwater",13.2569791666667,13.74687,-0.132200000000001,6.63105,5.12222578420955,244.456964908158,0,0,0
"70","Baca","Tylozygus geometricus",0,0.58,0.948,4,"Herbivore","Univoltine","Above Ground",13.2569791666667,9.63652,-20.11294,2.6939,4.6417090820903,815.33606703684,0,0,0
"71","Biva","Acanalonia servillei",0,0.381,0.235,14.5,"Herbivore","Univoltine","Above Ground",2.25,6.20156,-2.34538,1.3495,2.81457411410109,160.229305820834,0.474153846,-1.344923077,0.631692308
"72","Biva","Alcaeorrhynchus grandis",0,0.381,0.235,20,"Carnivore","Not Univoltine","Above Ground",2.25,3.23802,-23.3995,-0.0340000000000025,2.77440600496807,454.301910255938,0.474153846,-1.344923077,0.631692308
"73","Biva","Anomala innuba",1,0.381,0.235,7.5,"Herbivore","Not Univoltine","Below Ground",2.25,9.44282,-3.06142,3.2674,4.16178885458884,313.801359071828,0.474153846,-1.344923077,0.631692308
"74","Biva","Blattella asahinai",0,0.381,0.235,14.5,"Herbivore","Not Univoltine","Above Ground",2.25,2.6963,-8.83475,0.400400000000001,3.35753476865113,409.929268610035,0.474153846,-1.344923077,0.631692308
"75","Biva","Callistethus marginatus",12,0.381,0.235,13.5,"Herbivore","Not Univoltine","Below Ground",2.25,7.34624000000001,-3.52616,1.3,3.76043297648297,329.084045570379,0.474153846,-1.344923077,0.631692308
"76","Biva","Calosoma scrutator",0,0.381,0.235,30,"Carnivore","Univoltine","Above Ground",2.25,10.0707,0.00329999999999941,4.11079999999999,3.42313596310852,312.109190304279,0.474153846,-1.344923077,0.631692308
"77","Biva","Camponotus castaneus",3,0.381,0.235,8.5,"Omnivore","Not Univoltine","Host Organisms",2.25,9.8408,1.0152,6.8397,2.70351447364713,168.142479126584,0.474153846,-1.344923077,0.631692308
"78","Biva","Camponotus floridanus",4,0.381,0.235,8.5,"Omnivore","Not Univoltine","Host Organisms",2.25,0.732980000000001,-3.9084,-1.571,1.5274742654138,116.335066166947,0.474153846,-1.344923077,0.631692308
"79","Biva","Chauliodes rastricornis",18,0.381,0.235,35,"Omnivore","Not Univoltine","Freshwater",2.25,15.3888,0.50817,11.50765,5.55321612401015,225.027366967559,0.474153846,-1.344923077,0.631692308
"80","Biva","Climaciella brunnea",0,0.381,0.235,26.5,"Carnivore","Not Univoltine","Host Organisms",2.25,15.8374,-0.915580000000002,12.9686,5.80591046276887,329.452941561826,0.474153846,-1.344923077,0.631692308
"81","Biva","Corydalus cornutus",1,0.381,0.235,54,"Omnivore","Univoltine","Freshwater",2.25,13.57158,3.43488,9.12105,3.59008191526177,209.500023430073,0.474153846,-1.344923077,0.631692308
"82","Biva","Cybister fimbriolatus",1,0.381,0.235,29.5,"Carnivore","Univoltine","Freshwater",2.25,10.94483,-2.01133,2.3079,4.36706778375191,303.052664561671,0.474153846,-1.344923077,0.631692308
"83","Biva","Dichotomius carolinus",0,0.381,0.235,25,"Detrivore","Univoltine","Above Ground",2.25,9.3372,-10.2733,5.39725,3.64512345088033,382.850577514149,0.474153846,-1.344923077,0.631692308
"84","Biva","Draeculacephala inscripta",2,0.381,0.235,7,"Herbivore","Not Univoltine","Above Ground",2.25,8.68032000000001,-0.627460000000003,0.811699999999998,3.61521297776219,230.708236738472,0.474153846,-1.344923077,0.631692308
"85","Biva","Euphoria sepulcralis",0,0.381,0.235,11.5,"Herbivore","Univoltine","Below Ground",2.25,9.31407,-3.68085,1.28645,4.11175634694152,264.336060265963,0.474153846,-1.344923077,0.631692308
"86","Biva","Harmonia axyridis",0,0.381,0.235,6.5,"Carnivore","Not Univoltine","Above Ground",2.25,23.651,4.03536,20.8802,3.38960814321939,264.803339094393,0.474153846,-1.344923077,0.631692308
"87","Biva","Hydaticus bimarginatus",77,0.381,0.235,12.5,"Carnivore","Univoltine","Freshwater",2.25,5.57985,-2.53645,0.366,2.72629463654203,232.100917636227,0.474153846,-1.344923077,0.631692308
"88","Biva","Lethocerus uhleri",3,0.381,0.235,48.5,"Carnivore","Not Univoltine","Freshwater",2.25,6.22652,-1.7319,0.8414,2.77862837874417,235.222942972051,0.474153846,-1.344923077,0.631692308
"89","Biva","Lytta polita",1,0.381,0.235,17.5,"Carnivore","Univoltine","Host Organisms",2.25,5.9363,-0.704600000000003,1.14695,2.47606405877214,147.415611063826,0.474153846,-1.344923077,0.631692308
"90","Biva","Megalodacne fasciata",2,0.381,0.235,12.5,"Herbivore","Not Univoltine","Host Organisms",2.25,11.83046,0.611499999999999,7.5829,3.82685601308118,211.875959034006,0.474153846,-1.344923077,0.631692308
"91","Biva","Melanolestes picipes",0,0.381,0.235,11,"Carnivore","Not Univoltine","Below Ground",2.25,9.55308,0.487159999999999,5.7128,3.39358232788108,280.824961928544,0.474153846,-1.344923077,0.631692308
"92","Biva","Necrophila americana",0,0.381,0.235,16.5,"Detrivore","Not Univoltine","Host Organisms",2.25,15.9427,6.2585,11.523,3.80382800299079,185.600535245898,0.474153846,-1.344923077,0.631692308
"93","Biva","Neoconocephalus triops",0,0.381,0.235,32,"Herbivore","Not Univoltine","Above Ground",2.25,5.6516,-7.64649,0.15635,3.21043102917168,417.815717320485,0.474153846,-1.344923077,0.631692308
"94","Biva","Neoscapteriscus borellii",0,0.381,0.235,30,"Omnivore","Not Univoltine","Below Ground",2.25,4.62694,-1.57872,0.946449999999999,2.1975098316369,339.65299945197,0.474153846,-1.344923077,0.631692308
"95","Biva","Pelidnota punctata",1,0.381,0.235,22,"Detrivore","Univoltine","Host Organisms",2.25,14.11112,1.96209,10.41015,4.09221785940406,199.735546624183,0.474153846,-1.344923077,0.631692308
"96","Biva","Periplaneta americana",1,0.381,0.235,38,"Omnivore","Not Univoltine","Above Ground",2.25,9.72851,-36.99468,1.03355,4.550952117521,652.345131775528,0.474153846,-1.344923077,0.631692308
"97","Biva","Phileurus truncatus",0,0.381,0.235,35,"Detrivore","Univoltine","Host Organisms",2.25,6.31028,-10.40278,3.7026,2.61350928156564,536.665503698626,0.474153846,-1.344923077,0.631692308
"98","Biva","Phileurus valgus",1,0.381,0.235,23,"Detrivore","Not Univoltine","Host Organisms",2.25,6.5085,-15.0894,0.609099999999998,3.79938507603675,518.459617713095,0.474153846,-1.344923077,0.631692308
"99","Biva","Plecia nearctica",19,0.381,0.235,7.5,"Herbivore","Not Univoltine","Below Ground",2.25,2.34642,-1.81964,0.0626999999999995,1.59085050727693,186.938070243399,0.474153846,-1.344923077,0.631692308
"100","Biva","Prionus imbricornis",0,0.381,0.235,37.5,"Herbivore","Univoltine","Host Organisms",2.25,8.64517999999999,0.86712,5.53875,2.46058708621822,210.76072994301,0.474153846,-1.344923077,0.631692308
"101","Biva","Prionus pocularis",1,0.381,0.235,34.5,"Herbivore","Univoltine","Host Organisms",2.25,11.89206,-0.938039999999997,3.6192,4.31687260982908,208.735279531533,0.474153846,-1.344923077,0.631692308
"102","Biva","Prosapia bicincta",27,0.381,0.235,9,"Herbivore","Not Univoltine","Above Ground",2.25,9.46683999999999,0.085799999999999,4.5966,3.30939461663834,242.784188261434,0.474153846,-1.344923077,0.631692308
"103","Biva","Rhiginia cruciata",0,0.381,0.235,14,"Carnivore","Not Univoltine","Above Ground",2.25,10.43586,0.30462,7.5535,3.49738750158468,189.033570507408,0.474153846,-1.344923077,0.631692308
"104","Biva","Tabanus atratus",0,0.381,0.235,26.5,"Carnivore","Not Univoltine","Freshwater",2.25,13.74687,-0.132200000000001,6.63105,5.12222578420955,244.456964908158,0.474153846,-1.344923077,0.631692308
"105","Biva","Tylozygus geometricus",0,0.381,0.235,4,"Herbivore","Univoltine","Above Ground",2.25,9.63652,-20.11294,2.6939,4.6417090820903,815.33606703684,0.474153846,-1.344923077,0.631692308
"106","Bowa","Acanalonia servillei",1,0.278,0.132,14.5,"Herbivore","Univoltine","Above Ground",0.011,6.20156,-2.34538,1.3495,2.81457411410109,160.229305820834,0.098666667,2.606666667,0.665333333
