"","Site","scientific_name","abundance","Dev_10","Dev_1","BodySize","LHSCategory","VoltinismCategory","LarvalHabitatCategory","meanLight","max_lat_dif","min_lat_dif","med_lat_dif","temp_niche","precip_niche","mean_temp","mean_rh","mean_hsi"
"107","Bowa","Alcaeorrhynchus grandis",0,0.278,0.132,20,"Carnivore","Not Univoltine","Above Ground",0.011,3.23802,-23.3995,-0.0340000000000025,2.77440600496807,454.301910255938,0.098666667,2.606666667,0.665333333
"108","Bowa","Anomala innuba",0,0.278,0.132,7.5,"Herbivore","Not Univoltine","Below Ground",0.011,9.44282,-3.06142,3.2674,4.16178885458884,313.801359071828,0.098666667,2.606666667,0.665333333
"109","Bowa","Blattella asahinai",0,0.278,0.132,14.5,"Herbivore","Not Univoltine","Above Ground",0.011,2.6963,-8.83475,0.400400000000001,3.35753476865113,409.929268610035,0.098666667,2.606666667,0.665333333
"110","Bowa","Callistethus marginatus",7,0.278,0.132,13.5,"Herbivore","Not Univoltine","Below Ground",0.011,7.34624000000001,-3.52616,1.3,3.76043297648297,329.084045570379,0.098666667,2.606666667,0.665333333
"111","Bowa","Calosoma scrutator",0,0.278,0.132,30,"Carnivore","Univoltine","Above Ground",0.011,10.0707,0.00329999999999941,4.11079999999999,3.42313596310852,312.109190304279,0.098666667,2.606666667,0.665333333
"112","Bowa","Camponotus castaneus",1,0.278,0.132,8.5,"Omnivore","Not Univoltine","Host Organisms",0.011,9.8408,1.0152,6.8397,2.70351447364713,168.142479126584,0.098666667,2.606666667,0.665333333
"113","Bowa","Camponotus floridanus",8,0.278,0.132,8.5,"Omnivore","Not Univoltine","Host Organisms",0.011,0.732980000000001,-3.9084,-1.571,1.5274742654138,116.335066166947,0.098666667,2.606666667,0.665333333
"114","Bowa","Chauliodes rastricornis",9,0.278,0.132,35,"Omnivore","Not Univoltine","Freshwater",0.011,15.3888,0.50817,11.50765,5.55321612401015,225.027366967559,0.098666667,2.606666667,0.665333333
"115","Bowa","Climaciella brunnea",0,0.278,0.132,26.5,"Carnivore","Not Univoltine","Host Organisms",0.011,15.8374,-0.915580000000002,12.9686,5.80591046276887,329.452941561826,0.098666667,2.606666667,0.665333333
"116","Bowa","Corydalus cornutus",0,0.278,0.132,54,"Omnivore","Univoltine","Freshwater",0.011,13.57158,3.43488,9.12105,3.59008191526177,209.500023430073,0.098666667,2.606666667,0.665333333
"117","Bowa","Cybister fimbriolatus",10,0.278,0.132,29.5,"Carnivore","Univoltine","Freshwater",0.011,10.94483,-2.01133,2.3079,4.36706778375191,303.052664561671,0.098666667,2.606666667,0.665333333
"118","Bowa","Dichotomius carolinus",1,0.278,0.132,25,"Detrivore","Univoltine","Above Ground",0.011,9.3372,-10.2733,5.39725,3.64512345088033,382.850577514149,0.098666667,2.606666667,0.665333333
"119","Bowa","Draeculacephala inscripta",7,0.278,0.132,7,"Herbivore","Not Univoltine","Above Ground",0.011,8.68032000000001,-0.627460000000003,0.811699999999998,3.61521297776219,230.708236738472,0.098666667,2.606666667,0.665333333
"120","Bowa","Euphoria sepulcralis",0,0.278,0.132,11.5,"Herbivore","Univoltine","Below Ground",0.011,9.31407,-3.68085,1.28645,4.11175634694152,264.336060265963,0.098666667,2.606666667,0.665333333
"121","Bowa","Harmonia axyridis",0,0.278,0.132,6.5,"Carnivore","Not Univoltine","Above Ground",0.011,23.651,4.03536,20.8802,3.38960814321939,264.803339094393,0.098666667,2.606666667,0.665333333
"122","Bowa","Hydaticus bimarginatus",41,0.278,0.132,12.5,"Carnivore","Univoltine","Freshwater",0.011,5.57985,-2.53645,0.366,2.72629463654203,232.100917636227,0.098666667,2.606666667,0.665333333
"123","Bowa","Lethocerus uhleri",1,0.278,0.132,48.5,"Carnivore","Not Univoltine","Freshwater",0.011,6.22652,-1.7319,0.8414,2.77862837874417,235.222942972051,0.098666667,2.606666667,0.665333333
"124","Bowa","Lytta polita",1,0.278,0.132,17.5,"Carnivore","Univoltine","Host Organisms",0.011,5.9363,-0.704600000000003,1.14695,2.47606405877214,147.415611063826,0.098666667,2.606666667,0.665333333
"125","Bowa","Megalodacne fasciata",0,0.278,0.132,12.5,"Herbivore","Not Univoltine","Host Organisms",0.011,11.83046,0.611499999999999,7.5829,3.82685601308118,211.875959034006,0.098666667,2.606666667,0.665333333
"126","Bowa","Melanolestes picipes",0,0.278,0.132,11,"Carnivore","Not Univoltine","Below Ground",0.011,9.55308,0.487159999999999,5.7128,3.39358232788108,280.824961928544,0.098666667,2.606666667,0.665333333
"127","Bowa","Necrophila americana",2,0.278,0.132,16.5,"Detrivore","Not Univoltine","Host Organisms",0.011,15.9427,6.2585,11.523,3.80382800299079,185.600535245898,0.098666667,2.606666667,0.665333333
"128","Bowa","Neoconocephalus triops",0,0.278,0.132,32,"Herbivore","Not Univoltine","Above Ground",0.011,5.6516,-7.64649,0.15635,3.21043102917168,417.815717320485,0.098666667,2.606666667,0.665333333
"129","Bowa","Neoscapteriscus borellii",0,0.278,0.132,30,"Omnivore","Not Univoltine","Below Ground",0.011,4.62694,-1.57872,0.946449999999999,2.1975098316369,339.65299945197,0.098666667,2.606666667,0.665333333
"130","Bowa","Pelidnota punctata",4,0.278,0.132,22,"Detrivore","Univoltine","Host Organisms",0.011,14.11112,1.96209,10.41015,4.09221785940406,199.735546624183,0.098666667,2.606666667,0.665333333
"131","Bowa","Periplaneta americana",0,0.278,0.132,38,"Omnivore","Not Univoltine","Above Ground",0.011,9.72851,-36.99468,1.03355,4.550952117521,652.345131775528,0.098666667,2.606666667,0.665333333
"132","Bowa","Phileurus truncatus",0,0.278,0.132,35,"Detrivore","Univoltine","Host Organisms",0.011,6.31028,-10.40278,3.7026,2.61350928156564,536.665503698626,0.098666667,2.606666667,0.665333333
"133","Bowa","Phileurus valgus",4,0.278,0.132,23,"Detrivore","Not Univoltine","Host Organisms",0.011,6.5085,-15.0894,0.609099999999998,3.79938507603675,518.459617713095,0.098666667,2.606666667,0.665333333
"134","Bowa","Plecia nearctica",35,0.278,0.132,7.5,"Herbivore","Not Univoltine","Below Ground",0.011,2.34642,-1.81964,0.0626999999999995,1.59085050727693,186.938070243399,0.098666667,2.606666667,0.665333333
"135","Bowa","Prionus imbricornis",14,0.278,0.132,37.5,"Herbivore","Univoltine","Host Organisms",0.011,8.64517999999999,0.86712,5.53875,2.46058708621822,210.76072994301,0.098666667,2.606666667,0.665333333
"136","Bowa","Prionus pocularis",1,0.278,0.132,34.5,"Herbivore","Univoltine","Host Organisms",0.011,11.89206,-0.938039999999997,3.6192,4.31687260982908,208.735279531533,0.098666667,2.606666667,0.665333333
"137","Bowa","Prosapia bicincta",57,0.278,0.132,9,"Herbivore","Not Univoltine","Above Ground",0.011,9.46683999999999,0.085799999999999,4.5966,3.30939461663834,242.784188261434,0.098666667,2.606666667,0.665333333
"138","Bowa","Rhiginia cruciata",0,0.278,0.132,14,"Carnivore","Not Univoltine","Above Ground",0.011,10.43586,0.30462,7.5535,3.49738750158468,189.033570507408,0.098666667,2.606666667,0.665333333
"139","Bowa","Tabanus atratus",0,0.278,0.132,26.5,"Carnivore","Not Univoltine","Freshwater",0.011,13.74687,-0.132200000000001,6.63105,5.12222578420955,244.456964908158,0.098666667,2.606666667,0.665333333
"140","Bowa","Tylozygus geometricus",0,0.278,0.132,4,"Herbivore","Univoltine","Above Ground",0.011,9.63652,-20.11294,2.6939,4.6417090820903,815.33606703684,0.098666667,2.606666667,0.665333333
"141","Cofr","Acanalonia servillei",5,0.58,0.756,14.5,"Herbivore","Univoltine","Above Ground",1.209375,6.20156,-2.34538,1.3495,2.81457411410109,160.229305820834,0.550980392,-1.050980392,0.844705882
"142","Cofr","Alcaeorrhynchus grandis",0,0.58,0.756,20,"Carnivore","Not Univoltine","Above Ground",1.209375,3.23802,-23.3995,-0.0340000000000025,2.77440600496807,454.301910255938,0.550980392,-1.050980392,0.844705882
"143","Cofr","Anomala innuba",5,0.58,0.756,7.5,"Herbivore","Not Univoltine","Below Ground",1.209375,9.44282,-3.06142,3.2674,4.16178885458884,313.801359071828,0.550980392,-1.050980392,0.844705882
"144","Cofr","Blattella asahinai",0,0.58,0.756,14.5,"Herbivore","Not Univoltine","Above Ground",1.209375,2.6963,-8.83475,0.400400000000001,3.35753476865113,409.929268610035,0.550980392,-1.050980392,0.844705882
"145","Cofr","Callistethus marginatus",38,0.58,0.756,13.5,"Herbivore","Not Univoltine","Below Ground",1.209375,7.34624000000001,-3.52616,1.3,3.76043297648297,329.084045570379,0.550980392,-1.050980392,0.844705882
"146","Cofr","Calosoma scrutator",0,0.58,0.756,30,"Carnivore","Univoltine","Above Ground",1.209375,10.0707,0.00329999999999941,4.11079999999999,3.42313596310852,312.109190304279,0.550980392,-1.050980392,0.844705882
"147","Cofr","Camponotus castaneus",1,0.58,0.756,8.5,"Omnivore","Not Univoltine","Host Organisms",1.209375,9.8408,1.0152,6.8397,2.70351447364713,168.142479126584,0.550980392,-1.050980392,0.844705882
"148","Cofr","Camponotus floridanus",2,0.58,0.756,8.5,"Omnivore","Not Univoltine","Host Organisms",1.209375,0.732980000000001,-3.9084,-1.571,1.5274742654138,116.335066166947,0.550980392,-1.050980392,0.844705882
"149","Cofr","Chauliodes rastricornis",3,0.58,0.756,35,"Omnivore","Not Univoltine","Freshwater",1.209375,15.3888,0.50817,11.50765,5.55321612401015,225.027366967559,0.550980392,-1.050980392,0.844705882
"150","Cofr","Climaciella brunnea",0,0.58,0.756,26.5,"Carnivore","Not Univoltine","Host Organisms",1.209375,15.8374,-0.915580000000002,12.9686,5.80591046276887,329.452941561826,0.550980392,-1.050980392,0.844705882
"151","Cofr","Corydalus cornutus",0,0.58,0.756,54,"Omnivore","Univoltine","Freshwater",1.209375,13.57158,3.43488,9.12105,3.59008191526177,209.500023430073,0.550980392,-1.050980392,0.844705882
"152","Cofr","Cybister fimbriolatus",9,0.58,0.756,29.5,"Carnivore","Univoltine","Freshwater",1.209375,10.94483,-2.01133,2.3079,4.36706778375191,303.052664561671,0.550980392,-1.050980392,0.844705882
"153","Cofr","Dichotomius carolinus",0,0.58,0.756,25,"Detrivore","Univoltine","Above Ground",1.209375,9.3372,-10.2733,5.39725,3.64512345088033,382.850577514149,0.550980392,-1.050980392,0.844705882
"154","Cofr","Draeculacephala inscripta",0,0.58,0.756,7,"Herbivore","Not Univoltine","Above Ground",1.209375,8.68032000000001,-0.627460000000003,0.811699999999998,3.61521297776219,230.708236738472,0.550980392,-1.050980392,0.844705882
"155","Cofr","Euphoria sepulcralis",0,0.58,0.756,11.5,"Herbivore","Univoltine","Below Ground",1.209375,9.31407,-3.68085,1.28645,4.11175634694152,264.336060265963,0.550980392,-1.050980392,0.844705882
"156","Cofr","Harmonia axyridis",0,0.58,0.756,6.5,"Carnivore","Not Univoltine","Above Ground",1.209375,23.651,4.03536,20.8802,3.38960814321939,264.803339094393,0.550980392,-1.050980392,0.844705882
"157","Cofr","Hydaticus bimarginatus",285,0.58,0.756,12.5,"Carnivore","Univoltine","Freshwater",1.209375,5.57985,-2.53645,0.366,2.72629463654203,232.100917636227,0.550980392,-1.050980392,0.844705882
"158","Cofr","Lethocerus uhleri",1,0.58,0.756,48.5,"Carnivore","Not Univoltine","Freshwater",1.209375,6.22652,-1.7319,0.8414,2.77862837874417,235.222942972051,0.550980392,-1.050980392,0.844705882
"159","Cofr","Lytta polita",0,0.58,0.756,17.5,"Carnivore","Univoltine","Host Organisms",1.209375,5.9363,-0.704600000000003,1.14695,2.47606405877214,147.415611063826,0.550980392,-1.050980392,0.844705882
"160","Cofr","Megalodacne fasciata",1,0.58,0.756,12.5,"Herbivore","Not Univoltine","Host Organisms",1.209375,11.83046,0.611499999999999,7.5829,3.82685601308118,211.875959034006,0.550980392,-1.050980392,0.844705882
"161","Cofr","Melanolestes picipes",0,0.58,0.756,11,"Carnivore","Not Univoltine","Below Ground",1.209375,9.55308,0.487159999999999,5.7128,3.39358232788108,280.824961928544,0.550980392,-1.050980392,0.844705882
"162","Cofr","Necrophila americana",0,0.58,0.756,16.5,"Detrivore","Not Univoltine","Host Organisms",1.209375,15.9427,6.2585,11.523,3.80382800299079,185.600535245898,0.550980392,-1.050980392,0.844705882
"163","Cofr","Neoconocephalus triops",0,0.58,0.756,32,"Herbivore","Not Univoltine","Above Ground",1.209375,5.6516,-7.64649,0.15635,3.21043102917168,417.815717320485,0.550980392,-1.050980392,0.844705882
"164","Cofr","Neoscapteriscus borellii",0,0.58,0.756,30,"Omnivore","Not Univoltine","Below Ground",1.209375,4.62694,-1.57872,0.946449999999999,2.1975098316369,339.65299945197,0.550980392,-1.050980392,0.844705882
"165","Cofr","Pelidnota punctata",3,0.58,0.756,22,"Detrivore","Univoltine","Host Organisms",1.209375,14.11112,1.96209,10.41015,4.09221785940406,199.735546624183,0.550980392,-1.050980392,0.844705882
"166","Cofr","Periplaneta americana",0,0.58,0.756,38,"Omnivore","Not Univoltine","Above Ground",1.209375,9.72851,-36.99468,1.03355,4.550952117521,652.345131775528,0.550980392,-1.050980392,0.844705882
"167","Cofr","Phileurus truncatus",0,0.58,0.756,35,"Detrivore","Univoltine","Host Organisms",1.209375,6.31028,-10.40278,3.7026,2.61350928156564,536.665503698626,0.550980392,-1.050980392,0.844705882
"168","Cofr","Phileurus valgus",0,0.58,0.756,23,"Detrivore","Not Univoltine","Host Organisms",1.209375,6.5085,-15.0894,0.609099999999998,3.79938507603675,518.459617713095,0.550980392,-1.050980392,0.844705882
"169","Cofr","Plecia nearctica",12,0.58,0.756,7.5,"Herbivore","Not Univoltine","Below Ground",1.209375,2.34642,-1.81964,0.0626999999999995,1.59085050727693,186.938070243399,0.550980392,-1.050980392,0.844705882
"170","Cofr","Prionus imbricornis",2,0.58,0.756,37.5,"Herbivore","Univoltine","Host Organisms",1.209375,8.64517999999999,0.86712,5.53875,2.46058708621822,210.76072994301,0.550980392,-1.050980392,0.844705882
"171","Cofr","Prionus pocularis",2,0.58,0.756,34.5,"Herbivore","Univoltine","Host Organisms",1.209375,11.89206,-0.938039999999997,3.6192,4.31687260982908,208.735279531533,0.550980392,-1.050980392,0.844705882
"172","Cofr","Prosapia bicincta",13,0.58,0.756,9,"Herbivore","Not Univoltine","Above Ground",1.209375,9.46683999999999,0.085799999999999,4.5966,3.30939461663834,242.784188261434,0.550980392,-1.050980392,0.844705882
"173","Cofr","Rhiginia cruciata",0,0.58,0.756,14,"Carnivore","Not Univoltine","Above Ground",1.209375,10.43586,0.30462,7.5535,3.49738750158468,189.033570507408,0.550980392,-1.050980392,0.844705882
"174","Cofr","Tabanus atratus",0,0.58,0.756,26.5,"Carnivore","Not Univoltine","Freshwater",1.209375,13.74687,-0.132200000000001,6.63105,5.12222578420955,244.456964908158,0.550980392,-1.050980392,0.844705882
"175","Cofr","Tylozygus geometricus",0,0.58,0.756,4,"Herbivore","Univoltine","Above Ground",1.209375,9.63652,-20.11294,2.6939,4.6417090820903,815.33606703684,0.550980392,-1.050980392,0.844705882
"176","Demi","Acanalonia servillei",6,0.396,0.37,14.5,"Herbivore","Univoltine","Above Ground",0.178,6.20156,-2.34538,1.3495,2.81457411410109,160.229305820834,0.769120287,-0.259245961,0.898204668
"177","Demi","Alcaeorrhynchus grandis",1,0.396,0.37,20,"Carnivore","Not Univoltine","Above Ground",0.178,3.23802,-23.3995,-0.0340000000000025,2.77440600496807,454.301910255938,0.769120287,-0.259245961,0.898204668
"178","Demi","Anomala innuba",3,0.396,0.37,7.5,"Herbivore","Not Univoltine","Below Ground",0.178,9.44282,-3.06142,3.2674,4.16178885458884,313.801359071828,0.769120287,-0.259245961,0.898204668
"179","Demi","Blattella asahinai",0,0.396,0.37,14.5,"Herbivore","Not Univoltine","Above Ground",0.178,2.6963,-8.83475,0.400400000000001,3.35753476865113,409.929268610035,0.769120287,-0.259245961,0.898204668
"180","Demi","Callistethus marginatus",3,0.396,0.37,13.5,"Herbivore","Not Univoltine","Below Ground",0.178,7.34624000000001,-3.52616,1.3,3.76043297648297,329.084045570379,0.769120287,-0.259245961,0.898204668
"181","Demi","Calosoma scrutator",0,0.396,0.37,30,"Carnivore","Univoltine","Above Ground",0.178,10.0707,0.00329999999999941,4.11079999999999,3.42313596310852,312.109190304279,0.769120287,-0.259245961,0.898204668
"182","Demi","Camponotus castaneus",0,0.396,0.37,8.5,"Omnivore","Not Univoltine","Host Organisms",0.178,9.8408,1.0152,6.8397,2.70351447364713,168.142479126584,0.769120287,-0.259245961,0.898204668
"183","Demi","Camponotus floridanus",0,0.396,0.37,8.5,"Omnivore","Not Univoltine","Host Organisms",0.178,0.732980000000001,-3.9084,-1.571,1.5274742654138,116.335066166947,0.769120287,-0.259245961,0.898204668
"184","Demi","Chauliodes rastricornis",7,0.396,0.37,35,"Omnivore","Not Univoltine","Freshwater",0.178,15.3888,0.50817,11.50765,5.55321612401015,225.027366967559,0.769120287,-0.259245961,0.898204668
"185","Demi","Climaciella brunnea",0,0.396,0.37,26.5,"Carnivore","Not Univoltine","Host Organisms",0.178,15.8374,-0.915580000000002,12.9686,5.80591046276887,329.452941561826,0.769120287,-0.259245961,0.898204668
"186","Demi","Corydalus cornutus",0,0.396,0.37,54,"Omnivore","Univoltine","Freshwater",0.178,13.57158,3.43488,9.12105,3.59008191526177,209.500023430073,0.769120287,-0.259245961,0.898204668
"187","Demi","Cybister fimbriolatus",2,0.396,0.37,29.5,"Carnivore","Univoltine","Freshwater",0.178,10.94483,-2.01133,2.3079,4.36706778375191,303.052664561671,0.769120287,-0.259245961,0.898204668
"188","Demi","Dichotomius carolinus",1,0.396,0.37,25,"Detrivore","Univoltine","Above Ground",0.178,9.3372,-10.2733,5.39725,3.64512345088033,382.850577514149,0.769120287,-0.259245961,0.898204668
"189","Demi","Draeculacephala inscripta",0,0.396,0.37,7,"Herbivore","Not Univoltine","Above Ground",0.178,8.68032000000001,-0.627460000000003,0.811699999999998,3.61521297776219,230.708236738472,0.769120287,-0.259245961,0.898204668
"190","Demi","Euphoria sepulcralis",1,0.396,0.37,11.5,"Herbivore","Univoltine","Below Ground",0.178,9.31407,-3.68085,1.28645,4.11175634694152,264.336060265963,0.769120287,-0.259245961,0.898204668
"191","Demi","Harmonia axyridis",0,0.396,0.37,6.5,"Carnivore","Not Univoltine","Above Ground",0.178,23.651,4.03536,20.8802,3.38960814321939,264.803339094393,0.769120287,-0.259245961,0.898204668
"192","Demi","Hydaticus bimarginatus",116,0.396,0.37,12.5,"Carnivore","Univoltine","Freshwater",0.178,5.57985,-2.53645,0.366,2.72629463654203,232.100917636227,0.769120287,-0.259245961,0.898204668
"193","Demi","Lethocerus uhleri",5,0.396,0.37,48.5,"Carnivore","Not Univoltine","Freshwater",0.178,6.22652,-1.7319,0.8414,2.77862837874417,235.222942972051,0.769120287,-0.259245961,0.898204668
"194","Demi","Lytta polita",0,0.396,0.37,17.5,"Carnivore","Univoltine","Host Organisms",0.178,5.9363,-0.704600000000003,1.14695,2.47606405877214,147.415611063826,0.769120287,-0.259245961,0.898204668
"195","Demi","Megalodacne fasciata",6,0.396,0.37,12.5,"Herbivore","Not Univoltine","Host Organisms",0.178,11.83046,0.611499999999999,7.5829,3.82685601308118,211.875959034006,0.769120287,-0.259245961,0.898204668
"196","Demi","Melanolestes picipes",0,0.396,0.37,11,"Carnivore","Not Univoltine","Below Ground",0.178,9.55308,0.487159999999999,5.7128,3.39358232788108,280.824961928544,0.769120287,-0.259245961,0.898204668
"197","Demi","Necrophila americana",1,0.396,0.37,16.5,"Detrivore","Not Univoltine","Host Organisms",0.178,15.9427,6.2585,11.523,3.80382800299079,185.600535245898,0.769120287,-0.259245961,0.898204668
"198","Demi","Neoconocephalus triops",0,0.396,0.37,32,"Herbivore","Not Univoltine","Above Ground",0.178,5.6516,-7.64649,0.15635,3.21043102917168,417.815717320485,0.769120287,-0.259245961,0.898204668
"199","Demi","Neoscapteriscus borellii",0,0.396,0.37,30,"Omnivore","Not Univoltine","Below Ground",0.178,4.62694,-1.57872,0.946449999999999,2.1975098316369,339.65299945197,0.769120287,-0.259245961,0.898204668
"200","Demi","Pelidnota punctata",4,0.396,0.37,22,"Detrivore","Univoltine","Host Organisms",0.178,14.11112,1.96209,10.41015,4.09221785940406,199.735546624183,0.769120287,-0.259245961,0.898204668
"201","Demi","Periplaneta americana",0,0.396,0.37,38,"Omnivore","Not Univoltine","Above Ground",0.178,9.72851,-36.99468,1.03355,4.550952117521,652.345131775528,0.769120287,-0.259245961,0.898204668
"202","Demi","Phileurus truncatus",1,0.396,0.37,35,"Detrivore","Univoltine","Host Organisms",0.178,6.31028,-10.40278,3.7026,2.61350928156564,536.665503698626,0.769120287,-0.259245961,0.898204668
"203","Demi","Phileurus valgus",0,0.396,0.37,23,"Detrivore","Not Univoltine","Host Organisms",0.178,6.5085,-15.0894,0.609099999999998,3.79938507603675,518.459617713095,0.769120287,-0.259245961,0.898204668
"204","Demi","Plecia nearctica",25,0.396,0.37,7.5,"Herbivore","Not Univoltine","Below Ground",0.178,2.34642,-1.81964,0.0626999999999995,1.59085050727693,186.938070243399,0.769120287,-0.259245961,0.898204668
"205","Demi","Prionus imbricornis",1,0.396,0.37,37.5,"Herbivore","Univoltine","Host Organisms",0.178,8.64517999999999,0.86712,5.53875,2.46058708621822,210.76072994301,0.769120287,-0.259245961,0.898204668
"206","Demi","Prionus pocularis",1,0.396,0.37,34.5,"Herbivore","Univoltine","Host Organisms",0.178,11.89206,-0.938039999999997,3.6192,4.31687260982908,208.735279531533,0.769120287,-0.259245961,0.898204668
"207","Demi","Prosapia bicincta",2,0.396,0.37,9,"Herbivore","Not Univoltine","Above Ground",0.178,9.46683999999999,0.085799999999999,4.5966,3.30939461663834,242.784188261434,0.769120287,-0.259245961,0.898204668
"208","Demi","Rhiginia cruciata",0,0.396,0.37,14,"Carnivore","Not Univoltine","Above Ground",0.178,10.43586,0.30462,7.5535,3.49738750158468,189.033570507408,0.769120287,-0.259245961,0.898204668
