"","Site","scientific_name","abundance","Dev_10","Dev_1","BodySize","LHSCategory","VoltinismCategory","LarvalHabitatCategory","meanLight","max_lat_dif","min_lat_dif","med_lat_dif","temp_niche","precip_niche","mean_temp","mean_rh","mean_hsi"
"209","Demi","Tabanus atratus",0,0.396,0.37,26.5,"Carnivore","Not Univoltine","Freshwater",0.178,13.74687,-0.132200000000001,6.63105,5.12222578420955,244.456964908158,0.769120287,-0.259245961,0.898204668
"210","Demi","Tylozygus geometricus",0,0.396,0.37,4,"Herbivore","Univoltine","Above Ground",0.178,9.63652,-20.11294,2.6939,4.6417090820903,815.33606703684,0.769120287,-0.259245961,0.898204668
"211","Joma","Acanalonia servillei",3,0.611,0.642,14.5,"Herbivore","Univoltine","Above Ground",1.7018,6.20156,-2.34538,1.3495,2.81457411410109,160.229305820834,0.544927536,-1.087681159,1.272463768
"212","Joma","Alcaeorrhynchus grandis",0,0.611,0.642,20,"Carnivore","Not Univoltine","Above Ground",1.7018,3.23802,-23.3995,-0.0340000000000025,2.77440600496807,454.301910255938,0.544927536,-1.087681159,1.272463768
"213","Joma","Anomala innuba",5,0.611,0.642,7.5,"Herbivore","Not Univoltine","Below Ground",1.7018,9.44282,-3.06142,3.2674,4.16178885458884,313.801359071828,0.544927536,-1.087681159,1.272463768
"214","Joma","Blattella asahinai",1,0.611,0.642,14.5,"Herbivore","Not Univoltine","Above Ground",1.7018,2.6963,-8.83475,0.400400000000001,3.35753476865113,409.929268610035,0.544927536,-1.087681159,1.272463768
"215","Joma","Callistethus marginatus",14,0.611,0.642,13.5,"Herbivore","Not Univoltine","Below Ground",1.7018,7.34624000000001,-3.52616,1.3,3.76043297648297,329.084045570379,0.544927536,-1.087681159,1.272463768
"216","Joma","Calosoma scrutator",1,0.611,0.642,30,"Carnivore","Univoltine","Above Ground",1.7018,10.0707,0.00329999999999941,4.11079999999999,3.42313596310852,312.109190304279,0.544927536,-1.087681159,1.272463768
"217","Joma","Camponotus castaneus",2,0.611,0.642,8.5,"Omnivore","Not Univoltine","Host Organisms",1.7018,9.8408,1.0152,6.8397,2.70351447364713,168.142479126584,0.544927536,-1.087681159,1.272463768
"218","Joma","Camponotus floridanus",2,0.611,0.642,8.5,"Omnivore","Not Univoltine","Host Organisms",1.7018,0.732980000000001,-3.9084,-1.571,1.5274742654138,116.335066166947,0.544927536,-1.087681159,1.272463768
"219","Joma","Chauliodes rastricornis",35,0.611,0.642,35,"Omnivore","Not Univoltine","Freshwater",1.7018,15.3888,0.50817,11.50765,5.55321612401015,225.027366967559,0.544927536,-1.087681159,1.272463768
"220","Joma","Climaciella brunnea",1,0.611,0.642,26.5,"Carnivore","Not Univoltine","Host Organisms",1.7018,15.8374,-0.915580000000002,12.9686,5.80591046276887,329.452941561826,0.544927536,-1.087681159,1.272463768
"221","Joma","Corydalus cornutus",3,0.611,0.642,54,"Omnivore","Univoltine","Freshwater",1.7018,13.57158,3.43488,9.12105,3.59008191526177,209.500023430073,0.544927536,-1.087681159,1.272463768
"222","Joma","Cybister fimbriolatus",2,0.611,0.642,29.5,"Carnivore","Univoltine","Freshwater",1.7018,10.94483,-2.01133,2.3079,4.36706778375191,303.052664561671,0.544927536,-1.087681159,1.272463768
"223","Joma","Dichotomius carolinus",0,0.611,0.642,25,"Detrivore","Univoltine","Above Ground",1.7018,9.3372,-10.2733,5.39725,3.64512345088033,382.850577514149,0.544927536,-1.087681159,1.272463768
"224","Joma","Draeculacephala inscripta",0,0.611,0.642,7,"Herbivore","Not Univoltine","Above Ground",1.7018,8.68032000000001,-0.627460000000003,0.811699999999998,3.61521297776219,230.708236738472,0.544927536,-1.087681159,1.272463768
"225","Joma","Euphoria sepulcralis",0,0.611,0.642,11.5,"Herbivore","Univoltine","Below Ground",1.7018,9.31407,-3.68085,1.28645,4.11175634694152,264.336060265963,0.544927536,-1.087681159,1.272463768
"226","Joma","Harmonia axyridis",2,0.611,0.642,6.5,"Carnivore","Not Univoltine","Above Ground",1.7018,23.651,4.03536,20.8802,3.38960814321939,264.803339094393,0.544927536,-1.087681159,1.272463768
"227","Joma","Hydaticus bimarginatus",68,0.611,0.642,12.5,"Carnivore","Univoltine","Freshwater",1.7018,5.57985,-2.53645,0.366,2.72629463654203,232.100917636227,0.544927536,-1.087681159,1.272463768
"228","Joma","Lethocerus uhleri",3,0.611,0.642,48.5,"Carnivore","Not Univoltine","Freshwater",1.7018,6.22652,-1.7319,0.8414,2.77862837874417,235.222942972051,0.544927536,-1.087681159,1.272463768
"229","Joma","Lytta polita",0,0.611,0.642,17.5,"Carnivore","Univoltine","Host Organisms",1.7018,5.9363,-0.704600000000003,1.14695,2.47606405877214,147.415611063826,0.544927536,-1.087681159,1.272463768
"230","Joma","Megalodacne fasciata",0,0.611,0.642,12.5,"Herbivore","Not Univoltine","Host Organisms",1.7018,11.83046,0.611499999999999,7.5829,3.82685601308118,211.875959034006,0.544927536,-1.087681159,1.272463768
"231","Joma","Melanolestes picipes",0,0.611,0.642,11,"Carnivore","Not Univoltine","Below Ground",1.7018,9.55308,0.487159999999999,5.7128,3.39358232788108,280.824961928544,0.544927536,-1.087681159,1.272463768
"232","Joma","Necrophila americana",0,0.611,0.642,16.5,"Detrivore","Not Univoltine","Host Organisms",1.7018,15.9427,6.2585,11.523,3.80382800299079,185.600535245898,0.544927536,-1.087681159,1.272463768
"233","Joma","Neoconocephalus triops",0,0.611,0.642,32,"Herbivore","Not Univoltine","Above Ground",1.7018,5.6516,-7.64649,0.15635,3.21043102917168,417.815717320485,0.544927536,-1.087681159,1.272463768
"234","Joma","Neoscapteriscus borellii",0,0.611,0.642,30,"Omnivore","Not Univoltine","Below Ground",1.7018,4.62694,-1.57872,0.946449999999999,2.1975098316369,339.65299945197,0.544927536,-1.087681159,1.272463768
"235","Joma","Pelidnota punctata",1,0.611,0.642,22,"Detrivore","Univoltine","Host Organisms",1.7018,14.11112,1.96209,10.41015,4.09221785940406,199.735546624183,0.544927536,-1.087681159,1.272463768
"236","Joma","Periplaneta americana",0,0.611,0.642,38,"Omnivore","Not Univoltine","Above Ground",1.7018,9.72851,-36.99468,1.03355,4.550952117521,652.345131775528,0.544927536,-1.087681159,1.272463768
"237","Joma","Phileurus truncatus",1,0.611,0.642,35,"Detrivore","Univoltine","Host Organisms",1.7018,6.31028,-10.40278,3.7026,2.61350928156564,536.665503698626,0.544927536,-1.087681159,1.272463768
"238","Joma","Phileurus valgus",0,0.611,0.642,23,"Detrivore","Not Univoltine","Host Organisms",1.7018,6.5085,-15.0894,0.609099999999998,3.79938507603675,518.459617713095,0.544927536,-1.087681159,1.272463768
"239","Joma","Plecia nearctica",5,0.611,0.642,7.5,"Herbivore","Not Univoltine","Below Ground",1.7018,2.34642,-1.81964,0.0626999999999995,1.59085050727693,186.938070243399,0.544927536,-1.087681159,1.272463768
"240","Joma","Prionus imbricornis",0,0.611,0.642,37.5,"Herbivore","Univoltine","Host Organisms",1.7018,8.64517999999999,0.86712,5.53875,2.46058708621822,210.76072994301,0.544927536,-1.087681159,1.272463768
"241","Joma","Prionus pocularis",1,0.611,0.642,34.5,"Herbivore","Univoltine","Host Organisms",1.7018,11.89206,-0.938039999999997,3.6192,4.31687260982908,208.735279531533,0.544927536,-1.087681159,1.272463768
"242","Joma","Prosapia bicincta",9,0.611,0.642,9,"Herbivore","Not Univoltine","Above Ground",1.7018,9.46683999999999,0.085799999999999,4.5966,3.30939461663834,242.784188261434,0.544927536,-1.087681159,1.272463768
"243","Joma","Rhiginia cruciata",0,0.611,0.642,14,"Carnivore","Not Univoltine","Above Ground",1.7018,10.43586,0.30462,7.5535,3.49738750158468,189.033570507408,0.544927536,-1.087681159,1.272463768
"244","Joma","Tabanus atratus",0,0.611,0.642,26.5,"Carnivore","Not Univoltine","Freshwater",1.7018,13.74687,-0.132200000000001,6.63105,5.12222578420955,244.456964908158,0.544927536,-1.087681159,1.272463768
"245","Joma","Tylozygus geometricus",0,0.611,0.642,4,"Herbivore","Univoltine","Above Ground",1.7018,9.63652,-20.11294,2.6939,4.6417090820903,815.33606703684,0.544927536,-1.087681159,1.272463768
"246","Prcr","Acanalonia servillei",3,0.044,0.035,14.5,"Herbivore","Univoltine","Above Ground",0,6.20156,-2.34538,1.3495,2.81457411410109,160.229305820834,0.763671875,-0.752734375,0.9640625
"247","Prcr","Alcaeorrhynchus grandis",0,0.044,0.035,20,"Carnivore","Not Univoltine","Above Ground",0,3.23802,-23.3995,-0.0340000000000025,2.77440600496807,454.301910255938,0.763671875,-0.752734375,0.9640625
"248","Prcr","Anomala innuba",1,0.044,0.035,7.5,"Herbivore","Not Univoltine","Below Ground",0,9.44282,-3.06142,3.2674,4.16178885458884,313.801359071828,0.763671875,-0.752734375,0.9640625
"249","Prcr","Blattella asahinai",0,0.044,0.035,14.5,"Herbivore","Not Univoltine","Above Ground",0,2.6963,-8.83475,0.400400000000001,3.35753476865113,409.929268610035,0.763671875,-0.752734375,0.9640625
"250","Prcr","Callistethus marginatus",96,0.044,0.035,13.5,"Herbivore","Not Univoltine","Below Ground",0,7.34624000000001,-3.52616,1.3,3.76043297648297,329.084045570379,0.763671875,-0.752734375,0.9640625
"251","Prcr","Calosoma scrutator",0,0.044,0.035,30,"Carnivore","Univoltine","Above Ground",0,10.0707,0.00329999999999941,4.11079999999999,3.42313596310852,312.109190304279,0.763671875,-0.752734375,0.9640625
"252","Prcr","Camponotus castaneus",3,0.044,0.035,8.5,"Omnivore","Not Univoltine","Host Organisms",0,9.8408,1.0152,6.8397,2.70351447364713,168.142479126584,0.763671875,-0.752734375,0.9640625
"253","Prcr","Camponotus floridanus",7,0.044,0.035,8.5,"Omnivore","Not Univoltine","Host Organisms",0,0.732980000000001,-3.9084,-1.571,1.5274742654138,116.335066166947,0.763671875,-0.752734375,0.9640625
"254","Prcr","Chauliodes rastricornis",25,0.044,0.035,35,"Omnivore","Not Univoltine","Freshwater",0,15.3888,0.50817,11.50765,5.55321612401015,225.027366967559,0.763671875,-0.752734375,0.9640625
"255","Prcr","Climaciella brunnea",0,0.044,0.035,26.5,"Carnivore","Not Univoltine","Host Organisms",0,15.8374,-0.915580000000002,12.9686,5.80591046276887,329.452941561826,0.763671875,-0.752734375,0.9640625
"256","Prcr","Corydalus cornutus",6,0.044,0.035,54,"Omnivore","Univoltine","Freshwater",0,13.57158,3.43488,9.12105,3.59008191526177,209.500023430073,0.763671875,-0.752734375,0.9640625
"257","Prcr","Cybister fimbriolatus",5,0.044,0.035,29.5,"Carnivore","Univoltine","Freshwater",0,10.94483,-2.01133,2.3079,4.36706778375191,303.052664561671,0.763671875,-0.752734375,0.9640625
"258","Prcr","Dichotomius carolinus",0,0.044,0.035,25,"Detrivore","Univoltine","Above Ground",0,9.3372,-10.2733,5.39725,3.64512345088033,382.850577514149,0.763671875,-0.752734375,0.9640625
"259","Prcr","Draeculacephala inscripta",17,0.044,0.035,7,"Herbivore","Not Univoltine","Above Ground",0,8.68032000000001,-0.627460000000003,0.811699999999998,3.61521297776219,230.708236738472,0.763671875,-0.752734375,0.9640625
"260","Prcr","Euphoria sepulcralis",0,0.044,0.035,11.5,"Herbivore","Univoltine","Below Ground",0,9.31407,-3.68085,1.28645,4.11175634694152,264.336060265963,0.763671875,-0.752734375,0.9640625
"261","Prcr","Harmonia axyridis",0,0.044,0.035,6.5,"Carnivore","Not Univoltine","Above Ground",0,23.651,4.03536,20.8802,3.38960814321939,264.803339094393,0.763671875,-0.752734375,0.9640625
"262","Prcr","Hydaticus bimarginatus",179,0.044,0.035,12.5,"Carnivore","Univoltine","Freshwater",0,5.57985,-2.53645,0.366,2.72629463654203,232.100917636227,0.763671875,-0.752734375,0.9640625
"263","Prcr","Lethocerus uhleri",2,0.044,0.035,48.5,"Carnivore","Not Univoltine","Freshwater",0,6.22652,-1.7319,0.8414,2.77862837874417,235.222942972051,0.763671875,-0.752734375,0.9640625
"264","Prcr","Lytta polita",0,0.044,0.035,17.5,"Carnivore","Univoltine","Host Organisms",0,5.9363,-0.704600000000003,1.14695,2.47606405877214,147.415611063826,0.763671875,-0.752734375,0.9640625
"265","Prcr","Megalodacne fasciata",1,0.044,0.035,12.5,"Herbivore","Not Univoltine","Host Organisms",0,11.83046,0.611499999999999,7.5829,3.82685601308118,211.875959034006,0.763671875,-0.752734375,0.9640625
"266","Prcr","Melanolestes picipes",0,0.044,0.035,11,"Carnivore","Not Univoltine","Below Ground",0,9.55308,0.487159999999999,5.7128,3.39358232788108,280.824961928544,0.763671875,-0.752734375,0.9640625
"267","Prcr","Necrophila americana",4,0.044,0.035,16.5,"Detrivore","Not Univoltine","Host Organisms",0,15.9427,6.2585,11.523,3.80382800299079,185.600535245898,0.763671875,-0.752734375,0.9640625
"268","Prcr","Neoconocephalus triops",0,0.044,0.035,32,"Herbivore","Not Univoltine","Above Ground",0,5.6516,-7.64649,0.15635,3.21043102917168,417.815717320485,0.763671875,-0.752734375,0.9640625
"269","Prcr","Neoscapteriscus borellii",1,0.044,0.035,30,"Omnivore","Not Univoltine","Below Ground",0,4.62694,-1.57872,0.946449999999999,2.1975098316369,339.65299945197,0.763671875,-0.752734375,0.9640625
"270","Prcr","Pelidnota punctata",1,0.044,0.035,22,"Detrivore","Univoltine","Host Organisms",0,14.11112,1.96209,10.41015,4.09221785940406,199.735546624183,0.763671875,-0.752734375,0.9640625
"271","Prcr","Periplaneta americana",0,0.044,0.035,38,"Omnivore","Not Univoltine","Above Ground",0,9.72851,-36.99468,1.03355,4.550952117521,652.345131775528,0.763671875,-0.752734375,0.9640625
"272","Prcr","Phileurus truncatus",1,0.044,0.035,35,"Detrivore","Univoltine","Host Organisms",0,6.31028,-10.40278,3.7026,2.61350928156564,536.665503698626,0.763671875,-0.752734375,0.9640625
"273","Prcr","Phileurus valgus",2,0.044,0.035,23,"Detrivore","Not Univoltine","Host Organisms",0,6.5085,-15.0894,0.609099999999998,3.79938507603675,518.459617713095,0.763671875,-0.752734375,0.9640625
"274","Prcr","Plecia nearctica",33,0.044,0.035,7.5,"Herbivore","Not Univoltine","Below Ground",0,2.34642,-1.81964,0.0626999999999995,1.59085050727693,186.938070243399,0.763671875,-0.752734375,0.9640625
"275","Prcr","Prionus imbricornis",6,0.044,0.035,37.5,"Herbivore","Univoltine","Host Organisms",0,8.64517999999999,0.86712,5.53875,2.46058708621822,210.76072994301,0.763671875,-0.752734375,0.9640625
"276","Prcr","Prionus pocularis",2,0.044,0.035,34.5,"Herbivore","Univoltine","Host Organisms",0,11.89206,-0.938039999999997,3.6192,4.31687260982908,208.735279531533,0.763671875,-0.752734375,0.9640625
"277","Prcr","Prosapia bicincta",104,0.044,0.035,9,"Herbivore","Not Univoltine","Above Ground",0,9.46683999999999,0.085799999999999,4.5966,3.30939461663834,242.784188261434,0.763671875,-0.752734375,0.9640625
"278","Prcr","Rhiginia cruciata",4,0.044,0.035,14,"Carnivore","Not Univoltine","Above Ground",0,10.43586,0.30462,7.5535,3.49738750158468,189.033570507408,0.763671875,-0.752734375,0.9640625
"279","Prcr","Tabanus atratus",0,0.044,0.035,26.5,"Carnivore","Not Univoltine","Freshwater",0,13.74687,-0.132200000000001,6.63105,5.12222578420955,244.456964908158,0.763671875,-0.752734375,0.9640625
"280","Prcr","Tylozygus geometricus",7,0.044,0.035,4,"Herbivore","Univoltine","Above Ground",0,9.63652,-20.11294,2.6939,4.6417090820903,815.33606703684,0.763671875,-0.752734375,0.9640625
"281","Rist","Acanalonia servillei",11,0.012,0,14.5,"Herbivore","Univoltine","Above Ground",0,6.20156,-2.34538,1.3495,2.81457411410109,160.229305820834,0.729591837,1.572789116,1.2
"282","Rist","Alcaeorrhynchus grandis",3,0.012,0,20,"Carnivore","Not Univoltine","Above Ground",0,3.23802,-23.3995,-0.0340000000000025,2.77440600496807,454.301910255938,0.729591837,1.572789116,1.2
"283","Rist","Anomala innuba",67,0.012,0,7.5,"Herbivore","Not Univoltine","Below Ground",0,9.44282,-3.06142,3.2674,4.16178885458884,313.801359071828,0.729591837,1.572789116,1.2
"284","Rist","Blattella asahinai",0,0.012,0,14.5,"Herbivore","Not Univoltine","Above Ground",0,2.6963,-8.83475,0.400400000000001,3.35753476865113,409.929268610035,0.729591837,1.572789116,1.2
"285","Rist","Callistethus marginatus",16,0.012,0,13.5,"Herbivore","Not Univoltine","Below Ground",0,7.34624000000001,-3.52616,1.3,3.76043297648297,329.084045570379,0.729591837,1.572789116,1.2
"286","Rist","Calosoma scrutator",0,0.012,0,30,"Carnivore","Univoltine","Above Ground",0,10.0707,0.00329999999999941,4.11079999999999,3.42313596310852,312.109190304279,0.729591837,1.572789116,1.2
"287","Rist","Camponotus castaneus",28,0.012,0,8.5,"Omnivore","Not Univoltine","Host Organisms",0,9.8408,1.0152,6.8397,2.70351447364713,168.142479126584,0.729591837,1.572789116,1.2
"288","Rist","Camponotus floridanus",21,0.012,0,8.5,"Omnivore","Not Univoltine","Host Organisms",0,0.732980000000001,-3.9084,-1.571,1.5274742654138,116.335066166947,0.729591837,1.572789116,1.2
"289","Rist","Chauliodes rastricornis",41,0.012,0,35,"Omnivore","Not Univoltine","Freshwater",0,15.3888,0.50817,11.50765,5.55321612401015,225.027366967559,0.729591837,1.572789116,1.2
"290","Rist","Climaciella brunnea",0,0.012,0,26.5,"Carnivore","Not Univoltine","Host Organisms",0,15.8374,-0.915580000000002,12.9686,5.80591046276887,329.452941561826,0.729591837,1.572789116,1.2
"291","Rist","Corydalus cornutus",0,0.012,0,54,"Omnivore","Univoltine","Freshwater",0,13.57158,3.43488,9.12105,3.59008191526177,209.500023430073,0.729591837,1.572789116,1.2
"292","Rist","Cybister fimbriolatus",0,0.012,0,29.5,"Carnivore","Univoltine","Freshwater",0,10.94483,-2.01133,2.3079,4.36706778375191,303.052664561671,0.729591837,1.572789116,1.2
"293","Rist","Dichotomius carolinus",2,0.012,0,25,"Detrivore","Univoltine","Above Ground",0,9.3372,-10.2733,5.39725,3.64512345088033,382.850577514149,0.729591837,1.572789116,1.2
"294","Rist","Draeculacephala inscripta",117,0.012,0,7,"Herbivore","Not Univoltine","Above Ground",0,8.68032000000001,-0.627460000000003,0.811699999999998,3.61521297776219,230.708236738472,0.729591837,1.572789116,1.2
"295","Rist","Euphoria sepulcralis",0,0.012,0,11.5,"Herbivore","Univoltine","Below Ground",0,9.31407,-3.68085,1.28645,4.11175634694152,264.336060265963,0.729591837,1.572789116,1.2
"296","Rist","Harmonia axyridis",0,0.012,0,6.5,"Carnivore","Not Univoltine","Above Ground",0,23.651,4.03536,20.8802,3.38960814321939,264.803339094393,0.729591837,1.572789116,1.2
"297","Rist","Hydaticus bimarginatus",46,0.012,0,12.5,"Carnivore","Univoltine","Freshwater",0,5.57985,-2.53645,0.366,2.72629463654203,232.100917636227,0.729591837,1.572789116,1.2
"298","Rist","Lethocerus uhleri",3,0.012,0,48.5,"Carnivore","Not Univoltine","Freshwater",0,6.22652,-1.7319,0.8414,2.77862837874417,235.222942972051,0.729591837,1.572789116,1.2
"299","Rist","Lytta polita",0,0.012,0,17.5,"Carnivore","Univoltine","Host Organisms",0,5.9363,-0.704600000000003,1.14695,2.47606405877214,147.415611063826,0.729591837,1.572789116,1.2
"300","Rist","Megalodacne fasciata",3,0.012,0,12.5,"Herbivore","Not Univoltine","Host Organisms",0,11.83046,0.611499999999999,7.5829,3.82685601308118,211.875959034006,0.729591837,1.572789116,1.2
"301","Rist","Melanolestes picipes",0,0.012,0,11,"Carnivore","Not Univoltine","Below Ground",0,9.55308,0.487159999999999,5.7128,3.39358232788108,280.824961928544,0.729591837,1.572789116,1.2
"302","Rist","Necrophila americana",0,0.012,0,16.5,"Detrivore","Not Univoltine","Host Organisms",0,15.9427,6.2585,11.523,3.80382800299079,185.600535245898,0.729591837,1.572789116,1.2
"303","Rist","Neoconocephalus triops",1,0.012,0,32,"Herbivore","Not Univoltine","Above Ground",0,5.6516,-7.64649,0.15635,3.21043102917168,417.815717320485,0.729591837,1.572789116,1.2
"304","Rist","Neoscapteriscus borellii",2,0.012,0,30,"Omnivore","Not Univoltine","Below Ground",0,4.62694,-1.57872,0.946449999999999,2.1975098316369,339.65299945197,0.729591837,1.572789116,1.2
"305","Rist","Pelidnota punctata",3,0.012,0,22,"Detrivore","Univoltine","Host Organisms",0,14.11112,1.96209,10.41015,4.09221785940406,199.735546624183,0.729591837,1.572789116,1.2
"306","Rist","Periplaneta americana",0,0.012,0,38,"Omnivore","Not Univoltine","Above Ground",0,9.72851,-36.99468,1.03355,4.550952117521,652.345131775528,0.729591837,1.572789116,1.2
"307","Rist","Phileurus truncatus",0,0.012,0,35,"Detrivore","Univoltine","Host Organisms",0,6.31028,-10.40278,3.7026,2.61350928156564,536.665503698626,0.729591837,1.572789116,1.2
"308","Rist","Phileurus valgus",1,0.012,0,23,"Detrivore","Not Univoltine","Host Organisms",0,6.5085,-15.0894,0.609099999999998,3.79938507603675,518.459617713095,0.729591837,1.572789116,1.2
"309","Rist","Plecia nearctica",8,0.012,0,7.5,"Herbivore","Not Univoltine","Below Ground",0,2.34642,-1.81964,0.0626999999999995,1.59085050727693,186.938070243399,0.729591837,1.572789116,1.2
"310","Rist","Prionus imbricornis",0,0.012,0,37.5,"Herbivore","Univoltine","Host Organisms",0,8.64517999999999,0.86712,5.53875,2.46058708621822,210.76072994301,0.729591837,1.572789116,1.2
"311","Rist","Prionus pocularis",6,0.012,0,34.5,"Herbivore","Univoltine","Host Organisms",0,11.89206,-0.938039999999997,3.6192,4.31687260982908,208.735279531533,0.729591837,1.572789116,1.2
"312","Rist","Prosapia bicincta",29,0.012,0,9,"Herbivore","Not Univoltine","Above Ground",0,9.46683999999999,0.085799999999999,4.5966,3.30939461663834,242.784188261434,0.729591837,1.572789116,1.2
"313","Rist","Rhiginia cruciata",0,0.012,0,14,"Carnivore","Not Univoltine","Above Ground",0,10.43586,0.30462,7.5535,3.49738750158468,189.033570507408,0.729591837,1.572789116,1.2
"314","Rist","Tabanus atratus",2,0.012,0,26.5,"Carnivore","Not Univoltine","Freshwater",0,13.74687,-0.132200000000001,6.63105,5.12222578420955,244.456964908158,0.729591837,1.572789116,1.2
"315","Rist","Tylozygus geometricus",6,0.012,0,4,"Herbivore","Univoltine","Above Ground",0,9.63652,-20.11294,2.6939,4.6417090820903,815.33606703684,0.729591837,1.572789116,1.2
